t 1 2 3 4 5 6 jL0100 jL0200 jL0300 jE0400 jE0504 jE0605 
0.0006078 0.933907 0.74666 0.468692 0.468692 1.21535 2.14926 0.0113003 0.0420437 0.0837132 0 0 0
0.0006081 0.930475 0.733914 0.443398 0.443398 1.17731 2.10779 0.0115799 0.042932 0.0849442 0 0 0
0.0006084 0.92696 0.720905 0.417746 0.417746 1.13865 2.06561 0.0118586 0.0438048 0.0861065 0 0 0
0.0006087 0.92336 0.707636 0.391755 0.391755 1.09939 2.02275 0.0121361 0.0446619 0.0871991 0 0 0
0.000609 0.919678 0.694113 0.365448 0.365448 1.05956 1.97924 0.0124125 0.0455028 0.0882211 0 0 0
0.0006093 0.915913 0.680339 0.338844 0.338844 1.01918 1.9351 0.0126879 0.0463274 0.0891717 0 0 0
0.0006096 0.912066 0.666321 0.311966 0.311966 0.978287 1.89035 0.0129621 0.0471353 0.0900501 0 0 0
0.0006099 0.908136 0.652063 0.284836 0.284836 0.936899 1.84504 0.0132351 0.0479263 0.0908556 0 0 0
0.0006102 0.904125 0.63757 0.257475 0.257475 0.895045 1.79917 0.0135069 0.0487 0.0915876 0 0 0
0.0006105 0.900033 0.622848 0.229905 0.229905 0.852754 1.75279 0.0137775 0.0494562 0.0922454 0 0 0
0.0006108 0.895859 0.607902 0.20215 0.20215 0.810052 1.70591 0.0140469 0.0501946 0.0928285 0 0 0
0.0006111 0.891605 0.592737 0.174231 0.174231 0.766967 1.65857 0.014315 0.0509149 0.0933365 0 0 0
0.0006114 0.88727 0.577359 0.14617 0.14617 0.723529 1.6108 0.0145819 0.0516169 0.093769 0 0 0
0.0006117 0.882856 0.561772 0.117992 0.117992 0.679764 1.56262 0.0148474 0.0523003 0.0941255 0 0 0
0.000612 0.878362 0.545984 0.0897179 0.0897179 0.635702 1.51406 0.0151115 0.0529649 0.0944058 0 0 0
0.0006123 0.87379 0.529999 0.0613713 0.0613713 0.59137 1.46516 0.0153744 0.0536104 0.0946098 0 0 0
0.0006126 0.869138 0.513823 0.032975 0.032975 0.546798 1.41594 0.0156358 0.0542367 0.0947371 0 0 0
0.0006129 0.864408 0.497463 0.00455203 0.00455203 0.502015 1.36642 0.0158958 0.0548434 0.0947877 0 0 0
0.0006132 0.859601 0.480923 -0.0238746 -0.0238746 0.457049 1.31665 0.0161544 0.0554304 0.0947616 0 0 0
0.0006135 0.854716 0.464211 -0.0522819 -0.0522819 0.411929 1.26664 0.0164116 0.0559974 0.0946588 0 0 0
0.0006138 0.849755 0.447331 -0.0806469 -0.0806469 0.366684 1.21644 0.0166672 0.0565443 0.0944794 0 0 0
0.0006141 0.844716 0.43029 -0.108947 -0.108947 0.321344 1.16606 0.0169214 0.0570708 0.0942235 0 0 0
0.0006144 0.839602 0.413095 -0.137158 -0.137158 0.275936 1.11554 0.017174 0.0575768 0.0938913 0 0 0
0.0006147 0.834412 0.39575 -0.165259 -0.165259 0.230492 1.0649 0.0174251 0.058062 0.0934831 0 0 0
0.000615 0.829148 0.378264 -0.193225 -0.193225 0.185038 1.01419 0.0176747 0.0585264 0.0929992 0 0 0
0.0006153 0.823808 0.360641 -0.221035 -0.221035 0.139605 0.963413 0.0179226 0.0589697 0.0924401 0 0 0
0.0006156 0.818394 0.342888 -0.248667 -0.248667 0.0942214 0.912616 0.0181689 0.0593918 0.0918061 0 0 0
0.0006159 0.812907 0.325012 -0.276097 -0.276097 0.0489154 0.861823 0.0184136 0.0597925 0.0910978 0 0 0
0.0006162 0.807347 0.307019 -0.303303 -0.303303 0.00371591 0.811063 0.0186566 0.0601716 0.0903157 0 0 0
0.0006165 0.801714 0.288916 -0.330264 -0.330264 -0.0413485 0.760365 0.018898 0.0605292 0.0894606 0 0 0
0.0006168 0.796008 0.270708 -0.356958 -0.356958 -0.0862496 0.709759 0.0191377 0.0608649 0.088533 0 0 0
0.0006171 0.790232 0.252403 -0.383362 -0.383362 -0.130959 0.659273 0.0193756 0.0611788 0.0875337 0 0 0
0.0006174 0.784384 0.234007 -0.409457 -0.409457 -0.175449 0.608935 0.0196118 0.0614706 0.0864636 0 0 0
0.0006177 0.778465 0.215527 -0.435219 -0.435219 -0.219692 0.558773 0.0198462 0.0617403 0.0853235 0 0 0
0.000618 0.772476 0.19697 -0.46063 -0.46063 -0.26366 0.508817 0.0200788 0.0619877 0.0841144 0 0 0
0.0006183 0.766418 0.178341 -0.485667 -0.485667 -0.307326 0.459092 0.0203097 0.0622129 0.0828371 0 0 0
0.0006186 0.760291 0.159649 -0.510312 -0.510312 -0.350663 0.409628 0.0205387 0.0624157 0.0814928 0 0 0
0.0006189 0.754096 0.140899 -0.534543 -0.534543 -0.393644 0.360451 0.0207658 0.062596 0.0800825 0 0 0
0.0006192 0.747832 0.122098 -0.558342 -0.558342 -0.436244 0.311589 0.0209911 0.0627538 0.0786074 0 0 0
0.0006195 0.741502 0.103253 -0.581688 -0.581688 -0.478435 0.263067 0.0212145 0.062889 0.0770687 0 0 0
0.0006198 0.735104 0.0843714 -0.604564 -0.604564 -0.520193 0.214912 0.021436 0.0630015 0.0754675 0 0 0
0.0006201 0.728641 0.0654592 -0.62695 -0.62695 -0.561491 0.167149 0.0216555 0.0630914 0.0738053 0 0 0
0.0006204 0.722111 0.0465234 -0.648829 -0.648829 -0.602306 0.119806 0.0218731 0.0631586 0.0720834 0 0 0
0.0006207 0.715517 0.0275708 -0.670183 -0.670183 -0.642612 0.0729055 0.0220888 0.0632031 0.070303 0 0 0
0.000621 0.708859 0.00860836 -0.690994 -0.690994 -0.682385 0.0264735 0.0223024 0.0632248 0.0684658 0 0 0
0.0006213 0.702136 -0.0103572 -0.711245 -0.711245 -0.721602 -0.019466 0.0225141 0.0632237 0.0665732 0 0 0
0.0006216 0.695351 -0.029319 -0.730921 -0.730921 -0.76024 -0.0648893 0.0227237 0.0631999 0.0646266 0 0 0
0.0006219 0.688503 -0.0482703 -0.750005 -0.750005 -0.798276 -0.109773 0.0229313 0.0631533 0.0626278 0 0 0
0.0006222 0.681593 -0.0672042 -0.768482 -0.768482 -0.835687 -0.154094 0.0231368 0.0630841 0.0605782 0 0 0
0.0006225 0.674621 -0.0861139 -0.786337 -0.786337 -0.872451 -0.19783 0.0233402 0.0629921 0.0584796 0 0 0
0.0006228 0.667589 -0.104993 -0.803556 -0.803556 -0.908548 -0.240959 0.0235415 0.0628774 0.0563337 0 0 0
0.0006231 0.660497 -0.123834 -0.820124 -0.820124 -0.943957 -0.28346 0.0237407 0.0627401 0.0541422 0 0 0
0.0006234 0.653345 -0.14263 -0.836028 -0.836028 -0.978658 -0.325312 0.0239378 0.0625803 0.0519068 0 0 0
0.0006237 0.646135 -0.161375 -0.851255 -0.851255 -1.01263 -0.366495 0.0241327 0.0623979 0.0496294 0 0 0
0.000624 0.638867 -0.180062 -0.865793 -0.865793 -1.04585 -0.406988 0.0243255 0.062193 0.0473119 0 0 0
0.0006243 0.63154 -0.198684 -0.87963 -0.87963 -1.07831 -0.446774 0.024516 0.0619658 0.044956 0 0 0
0.0006246 0.624158 -0.217235 -0.892755 -0.892755 -1.10999 -0.485833 0.0247044 0.0617163 0.0425638 0 0 0
0.0006249 0.616718 -0.235707 -0.905158 -0.905158 -1.14086 -0.524146 0.0248905 0.0614445 0.0401371 0 0 0
0.0006252 0.609224 -0.254095 -0.916828 -0.916828 -1.17092 -0.561698 0.0250744 0.0611507 0.0376779 0 0 0
0.0006255 0.601675 -0.272391 -0.927755 -0.927755 -1.20015 -0.598472 0.025256 0.0608348 0.0351882 0 0 0
0.0006258 0.594071 -0.290589 -0.937932 -0.937932 -1.22852 -0.63445 0.0254354 0.0604971 0.03267 0 0 0
0.0006261 0.586414 -0.308683 -0.947349 -0.947349 -1.25603 -0.669618 0.0256125 0.0601375 0.0301254 0 0 0
0.0006264 0.578704 -0.326665 -0.955999 -0.955999 -1.28266 -0.70396 0.0257872 0.0597563 0.0275564 0 0 0
0.0006267 0.570942 -0.34453 -0.963876 -0.963876 -1.30841 -0.737463 0.0259597 0.0593537 0.0249651 0 0 0
0.000627 0.563129 -0.362271 -0.970972 -0.970972 -1.33324 -0.770114 0.0261298 0.0589296 0.0223536 0 0 0
0.0006273 0.555265 -0.379881 -0.977282 -0.977282 -1.35716 -0.801898 0.0262975 0.0584844 0.019724 0 0 0
0.0006276 0.547351 -0.397355 -0.982801 -0.982801 -1.38016 -0.832805 0.0264629 0.0580181 0.0170784 0 0 0
0.0006279 0.539388 -0.414686 -0.987525 -0.987525 -1.40221 -0.862822 0.0266259 0.0575309 0.014419 0 0 0
0.0006282 0.531376 -0.431867 -0.991449 -0.991449 -1.42332 -0.89194 0.0267865 0.057023 0.0117479 0 0 0
0.0006285 0.523317 -0.448894 -0.99457 -0.99457 -1.44346 -0.920147 0.0269447 0.0564946 0.00906731 0 0 0
0.0006288 0.51521 -0.465758 -0.996887 -0.996887 -1.46264 -0.947434 0.0271005 0.0559458 0.00637938 0 0 0
0.0006291 0.507057 -0.482455 -0.998396 -0.998396 -1.48085 -0.973794 0.0272538 0.055377 0.0036863 0 0 0
0.0006294 0.498859 -0.498978 -0.999097 -0.999097 -1.49808 -0.999217 0.0274047 0.0547882 0.000990225 0 0 0
0.0006297 0.490615 -0.515322 -0.99899 -0.99899 -1.51431 -1.0237 0.0275531 0.0541796 -0.00170665 0 0 0
0.00063 0.482328 -0.53148 -0.998073 -0.998073 -1.52955 -1.04723 0.0276991 0.0535516 -0.00440214 0 0 0
0.0006303 0.473997 -0.547447 -0.996349 -0.996349 -1.5438 -1.0698 0.0278425 0.0529043 -0.00709406 0 0 0
0.0006306 0.465623 -0.563217 -0.993818 -0.993818 -1.55704 -1.09141 0.0279835 0.052238 -0.00978024 0 0 0
0.0006309 0.457207 -0.578784 -0.990483 -0.990483 -1.56927 -1.11206 0.0281219 0.0515528 -0.0124585 0 0 0
0.0006312 0.44875 -0.594143 -0.986346 -0.986346 -1.58049 -1.13174 0.0282578 0.0508491 -0.0151267 0 0 0
0.0006315 0.440253 -0.609288 -0.98141 -0.98141 -1.5907 -1.15044 0.0283911 0.0501271 -0.0177826 0 0 0
0.0006318 0.431717 -0.624214 -0.97568 -0.97568 -1.59989 -1.16818 0.0285219 0.0493871 -0.0204241 0 0 0
0.0006321 0.423141 -0.638915 -0.96916 -0.96916 -1.60808 -1.18493 0.0286501 0.0486293 -0.0230491 0 0 0
0.0006324 0.414527 -0.653386 -0.961856 -0.961856 -1.61524 -1.20071 0.0287758 0.047854 -0.0256555 0 0 0
0.0006327 0.405876 -0.667622 -0.953773 -0.953773 -1.6214 -1.21552 0.0288988 0.0470614 -0.0282411 0 0 0
0.000633 0.397189 -0.681618 -0.944918 -0.944918 -1.62654 -1.22935 0.0290193 0.046252 -0.0308038 0 0 0
0.0006333 0.388465 -0.695368 -0.935298 -0.935298 -1.63067 -1.2422 0.0291372 0.0454258 -0.0333415 0 0 0
0.0006336 0.379707 -0.708868 -0.924921 -0.924921 -1.63379 -1.25408 0.0292524 0.0445834 -0.0358523 0 0 0
0.0006339 0.370915 -0.722113 -0.913795 -0.913795 -1.63591 -1.26499 0.029365 0.0437249 -0.0383341 0 0 0
0.0006342 0.362089 -0.735099 -0.901929 -0.901929 -1.63703 -1.27494 0.0294749 0.0428506 -0.0407848 0 0 0
0.0006345 0.353231 -0.747819 -0.889334 -0.889334 -1.63715 -1.28392 0.0295822 0.0419609 -0.0432025 0 0 0
0.0006348 0.344341 -0.760271 -0.876018 -0.876018 -1.63629 -1.29195 0.0296868 0.0410562 -0.0455852 0 0 0
0.0006351 0.335419 -0.772448 -0.861993 -0.861993 -1.63444 -1.29902 0.0297888 0.0401366 -0.0479311 0 0 0
0.0006354 0.326468 -0.784348 -0.847271 -0.847271 -1.63162 -1.30515 0.0298881 0.0392026 -0.0502381 0 0 0
0.0006357 0.317487 -0.795966 -0.831862 -0.831862 -1.62783 -1.31034 0.0299847 0.0382545 -0.0525045 0 0 0
0.000636 0.308478 -0.807297 -0.81578 -0.81578 -1.62308 -1.3146 0.0300786 0.0372926 -0.0547283 0 0 0
0.0006363 0.299441 -0.818337 -0.799038 -0.799038 -1.61738 -1.31793 0.0301698 0.0363173 -0.0569079 0 0 0
0.0006366 0.290377 -0.829083 -0.781649 -0.781649 -1.61073 -1.32036 0.0302582 0.035329 -0.0590414 0 0 0
0.0006369 0.281287 -0.839531 -0.763628 -0.763628 -1.60316 -1.32187 0.030344 0.0343279 -0.0611271 0 0 0
0.0006372 0.272171 -0.849676 -0.744988 -0.744988 -1.59466 -1.32249 0.030427 0.0333145 -0.0631633 0 0 0
0.0006375 0.263031 -0.859516 -0.725745 -0.725745 -1.58526 -1.32223 0.0305073 0.032289 -0.0651484 0 0 0
0.0006378 0.253868 -0.869046 -0.705914 -0.705914 -1.57496 -1.32109 0.0305848 0.031252 -0.0670807 0 0 0
0.0006381 0.244681 -0.878264 -0.685512 -0.685512 -1.56378 -1.31909 0.0306596 0.0302037 -0.0689587 0 0 0
0.0006384 0.235473 -0.887165 -0.664556 -0.664556 -1.55172 -1.31625 0.0307316 0.0291445 -0.0707809 0 0 0
0.0006387 0.226243 -0.895747 -0.643061 -0.643061 -1.53881 -1.31256 0.0308009 0.0280749 -0.0725459 0 0 0
0.000639 0.216993 -0.904007 -0.621045 -0.621045 -1.52505 -1.30806 0.0308673 0.0269951 -0.074252 0 0 0
0.0006393 0.207724 -0.911941 -0.598527 -0.598527 -1.51047 -1.30274 0.030931 0.0259057 -0.0758981 0 0 0
0.0006396 0.198435 -0.919547 -0.575525 -0.575525 -1.49507 -1.29664 0.030992 0.0248069 -0.0774828 0 0 0
0.0006399 0.189129 -0.926823 -0.552056 -0.552056 -1.47888 -1.28975 0.0310501 0.0236991 -0.0790047 0 0 0
0.0006402 0.179806 -0.933764 -0.528141 -0.528141 -1.46191 -1.2821 0.0311054 0.0225829 -0.0804626 0 0 0
0.0006405 0.170467 -0.94037 -0.503798 -0.503798 -1.44417 -1.2737 0.031158 0.0214585 -0.0818554 0 0 0
0.0006408 0.161112 -0.946637 -0.479047 -0.479047 -1.42568 -1.26457 0.0312077 0.0203264 -0.083182 0 0 0
0.0006411 0.151743 -0.952563 -0.453909 -0.453909 -1.40647 -1.25473 0.0312546 0.019187 -0.0844412 0 0 0
0.0006414 0.14236 -0.958147 -0.428403 -0.428403 -1.38655 -1.24419 0.0312988 0.0180407 -0.0856321 0 0 0
0.0006417 0.132965 -0.963386 -0.40255 -0.40255 -1.36594 -1.23297 0.0313401 0.0168879 -0.0867536 0 0 0
0.000642 0.123557 -0.968278 -0.376372 -0.376372 -1.34465 -1.22109 0.0313785 0.015729 -0.087805 0 0 0
0.0006423 0.114138 -0.972821 -0.349889 -0.349889 -1.32271 -1.20857 0.0314142 0.0145644 -0.0887852 0 0 0
0.0006426 0.10471 -0.977015 -0.323122 -0.323122 -1.30014 -1.19543 0.031447 0.0133946 -0.0896936 0 0 0
0.0006429 0.0952711 -0.980857 -0.296094 -0.296094 -1.27695 -1.18168 0.031477 0.01222 -0.0905293 0 0 0
0.0006432 0.0858242 -0.984345 -0.268826 -0.268826 -1.25317 -1.16735 0.0315042 0.011041 -0.0912918 0 0 0
0.0006435 0.0763695 -0.98748 -0.241341 -0.241341 -1.22882 -1.15245 0.0315285 0.00985799 -0.0919804 0 0 0
0.0006438 0.0669079 -0.990259 -0.21366 -0.21366 -1.20392 -1.13701 0.03155 0.00867145 -0.0925945 0 0 0
0.0006441 0.0574403 -0.992682 -0.185807 -0.185807 -1.17849 -1.12105 0.0315686 0.00748179 -0.0931336 0 0 0
0.0006444 0.0479676 -0.994747 -0.157803 -0.157803 -1.15255 -1.10458 0.0315845 0.00628944 -0.0935974 0 0 0
0.0006447 0.0384905 -0.996455 -0.129671 -0.129671 -1.12613 -1.08764 0.0315974 0.00509483 -0.0939854 0 0 0
0.000645 0.02901 -0.997804 -0.101434 -0.101434 -1.09924 -1.07023 0.0316076 0.00389838 -0.0942973 0 0 0
0.0006453 0.0195268 -0.998793 -0.0731155 -0.0731155 -1.07191 -1.05238 0.0316148 0.00270053 -0.0945329 0 0 0
0.0006456 0.0100419 -0.999424 -0.0447375 -0.0447375 -1.04416 -1.03412 0.0316193 0.00150171 -0.0946919 0 0 0
0.0006459 0.000556122 -0.999694 -0.0163233 -0.0163233 -1.01602 -1.01546 0.0316209 0.000302345 -0.0947743 0 0 0
0.0006462 -0.00892973 -0.999605 0.0121041 0.0121041 -0.987501 -0.99643 0.0316196 -0.000897127 -0.09478 0 0 0
0.0006465 -0.0184148 -0.999156 0.0405217 0.0405217 -0.958634 -0.977049 0.0316155 -0.00209628 -0.094709 0 0 0
0.0006468 -0.0278982 -0.998347 0.0689065 0.0689065 -0.929441 -0.957339 0.0316086 -0.00329467 -0.0945613 0 0 0
0.0006471 -0.0373791 -0.997179 0.0972355 0.0972355 -0.899944 -0.937323 0.0315988 -0.00449188 -0.094337 0 0 0
0.0006474 -0.0468566 -0.995653 0.125486 0.125486 -0.870167 -0.917023 0.0315861 -0.00568747 -0.0940364 0 0 0
0.0006477 -0.0563299 -0.993767 0.153634 0.153634 -0.840133 -0.896463 0.0315706 -0.00688101 -0.0936596 0 0 0
0.000648 -0.0657981 -0.991525 0.181659 0.181659 -0.809866 -0.875664 0.0315523 -0.00807208 -0.0932071 0 0 0
0.0006483 -0.0752604 -0.988925 0.209536 0.209536 -0.779389 -0.854649 0.0315312 -0.00926024 -0.092679 0 0 0
0.0006486 -0.084716 -0.985969 0.237244 0.237244 -0.748726 -0.833442 0.0315072 -0.0104451 -0.092076 0 0 0
0.0006489 -0.0941639 -0.982659 0.264759 0.264759 -0.7179 -0.812064 0.0314803 -0.0116261 -0.0913984 0 0 0
0.0006492 -0.103603 -0.978995 0.29206 0.29206 -0.686935 -0.790538 0.0314507 -0.012803 -0.0906468 0 0 0
0.0006495 -0.113033 -0.974978 0.319125 0.319125 -0.655853 -0.768887 0.0314182 -0.0139753 -0.0898219 0 0 0
0.0006498 -0.122453 -0.970611 0.345932 0.345932 -0.62468 -0.747133 0.0313829 -0.0151426 -0.0889242 0 0 0
0.0006501 -0.131862 -0.965895 0.372458 0.372458 -0.593437 -0.725299 0.0313447 -0.0163044 -0.0879546 0 0 0
0.0006504 -0.141259 -0.96083 0.398683 0.398683 -0.562147 -0.703407 0.0313037 -0.0174603 -0.0869137 0 0 0
0.0006507 -0.150644 -0.95542 0.424585 0.424585 -0.530835 -0.681479 0.03126 -0.0186099 -0.0858025 0 0 0
0.000651 -0.160014 -0.949666 0.450143 0.450143 -0.499523 -0.659537 0.0312134 -0.0197529 -0.0846219 0 0 0
0.0006513 -0.169371 -0.943571 0.475337 0.475337 -0.468233 -0.637604 0.031164 -0.0208887 -0.0833727 0 0 0
0.0006516 -0.178712 -0.937135 0.500147 0.500147 -0.436989 -0.615701 0.0311117 -0.022017 -0.0820561 0 0 0
0.0006519 -0.188037 -0.930363 0.524551 0.524551 -0.405812 -0.593849 0.0310567 -0.0231374 -0.080673 0 0 0
0.0006522 -0.197345 -0.923255 0.548531 0.548531 -0.374724 -0.57207 0.0309989 -0.0242495 -0.0792246 0 0 0
0.0006525 -0.206636 -0.915815 0.572066 0.572066 -0.343749 -0.550385 0.0309383 -0.0253528 -0.0777121 0 0 0
0.0006528 -0.215907 -0.908046 0.595139 0.595139 -0.312907 -0.528815 0.030875 -0.0264471 -0.0761367 0 0 0
0.0006531 -0.22516 -0.89995 0.61773 0.61773 -0.28222 -0.50738 0.0308088 -0.0275318 -0.0744996 0 0 0
0.0006534 -0.234392 -0.89153 0.63982 0.63982 -0.25171 -0.486101 0.0307399 -0.0286066 -0.0728023 0 0 0
0.0006537 -0.243603 -0.882789 0.661393 0.661393 -0.221396 -0.464999 0.0306682 -0.0296711 -0.071046 0 0 0
0.000654 -0.252792 -0.873731 0.682431 0.682431 -0.1913 -0.444092 0.0305937 -0.0307249 -0.0692322 0 0 0
0.0006543 -0.261958 -0.864357 0.702915 0.702915 -0.161442 -0.4234 0.0305165 -0.0317676 -0.0673623 0 0 0
0.0006546 -0.271101 -0.854673 0.722831 0.722831 -0.131842 -0.402943 0.0304365 -0.032799 -0.0654379 0 0 0
0.0006549 -0.280219 -0.844682 0.742162 0.742162 -0.10252 -0.382739 0.0303538 -0.0338185 -0.0634606 0 0 0
0.0006552 -0.289312 -0.834386 0.760892 0.760892 -0.0734938 -0.362806 0.0302684 -0.0348258 -0.0614319 0 0 0
0.0006555 -0.29838 -0.82379 0.779006 0.779006 -0.0447838 -0.343163 0.0301803 -0.0358206 -0.0593534 0 0 0
0.0006558 -0.30742 -0.812897 0.796489 0.796489 -0.0164079 -0.323828 0.0300894 -0.0368026 -0.0572269 0 0 0
0.0006561 -0.316432 -0.801712 0.813328 0.813328 0.0116158 -0.304817 0.0299958 -0.0377712 -0.0550541 0 0 0
0.0006564 -0.325416 -0.790239 0.829508 0.829508 0.0392697 -0.286147 0.0298995 -0.0387263 -0.0528367 0 0 0
0.0006567 -0.334371 -0.778481 0.845017 0.845017 0.0665364 -0.267835 0.0298006 -0.0396675 -0.0505765 0 0 0
0.000657 -0.343296 -0.766442 0.859842 0.859842 0.0933993 -0.249897 0.0296989 -0.0405943 -0.0482754 0 0 0
0.0006573 -0.35219 -0.754128 0.87397 0.87397 0.119842 -0.232348 0.0295946 -0.0415066 -0.0459353 0 0 0
0.0006576 -0.361052 -0.741543 0.887391 0.887391 0.145849 -0.215203 0.0294876 -0.0424039 -0.0435579 0 0 0
0.0006579 -0.369882 -0.72869 0.900094 0.900094 0.171404 -0.198478 0.029378 -0.043286 -0.0411453 0 0 0
0.0006582 -0.378678 -0.715576 0.912068 0.912068 0.196492 -0.182186 0.0292657 -0.0441525 -0.0386993 0 0 0
0.0006585 -0.38744 -0.702204 0.923304 0.923304 0.2211 -0.16634 0.0291508 -0.045003 -0.0362221 0 0 0
0.0006588 -0.396168 -0.688579 0.933792 0.933792 0.245214 -0.150954 0.0290333 -0.0458374 -0.0337155 0 0 0
0.0006591 -0.404859 -0.674706 0.943525 0.943525 0.268819 -0.136041 0.0289131 -0.0466553 -0.0311816 0 0 0
0.0006594 -0.413515 -0.660591 0.952493 0.952493 0.291903 -0.121612 0.0287903 -0.0474564 -0.0286225 0 0 0
0.0006597 -0.422133 -0.646237 0.960691 0.960691 0.314454 -0.107679 0.028665 -0.0482405 -0.0260402 0 0 0
0.00066 -0.430713 -0.631652 0.968111 0.968111 0.336459 -0.0942536 0.0285371 -0.0490071 -0.0234369 0 0 0
0.0006603 -0.439254 -0.616838 0.974747 0.974747 0.357909 -0.0813455 0.0284066 -0.0497561 -0.0208145 0 0 0
0.0006606 -0.447756 -0.601803 0.980594 0.980594 0.378791 -0.068965 0.0282735 -0.0504873 -0.0181754 0 0 0
0.0006609 -0.456218 -0.586551 0.985648 0.985648 0.399096 -0.0571215 0.0281379 -0.0512002 -0.0155215 0 0 0
0.0006612 -0.464638 -0.571089 0.989903 0.989903 0.418815 -0.0458236 0.0279998 -0.0518947 -0.012855 0 0 0
0.0006615 -0.473017 -0.55542 0.993357 0.993357 0.437937 -0.0350798 0.0278592 -0.0525706 -0.0101781 0 0 0
0.0006618 -0.481353 -0.539552 0.996007 0.996007 0.456455 -0.0248976 0.027716 -0.0532275 -0.00749305 0 0 0
0.0006621 -0.489646 -0.523489 0.997851 0.997851 0.474362 -0.0152842 0.0275704 -0.0538653 -0.00480188 0 0 0
0.0006624 -0.497894 -0.507238 0.998887 0.998887 0.491648 -0.00624604 0.0274222 -0.0544836 -0.00210683 0 0 0
0.0006627 -0.506098 -0.490805 0.999114 0.999114 0.508309 0.00221083 0.0272717 -0.0550824 0.000589923 0 0 0
0.000663 -0.514257 -0.474195 0.998533 0.998533 0.524338 0.0100811 0.0271186 -0.0556614 0.0032862 0 0 0
0.0006633 -0.522369 -0.457414 0.997143 0.997143 0.539729 0.01736 0.0269631 -0.0562203 0.00597982 0 0 0
0.0006636 -0.530434 -0.440469 0.994946 0.994946 0.554477 0.0240433 0.0268052 -0.0567589 0.00866859 0 0 0
0.0006639 -0.538451 -0.423365 0.991944 0.991944 0.568579 0.0301275 0.0266449 -0.0572772 0.0113503 0 0 0
0.0006642 -0.54642 -0.406109 0.988138 0.988138 0.58203 0.0356095 0.0264821 -0.0577748 0.0140229 0 0 0
0.0006645 -0.55434 -0.388706 0.983533 0.983533 0.594827 0.040487 0.026317 -0.0582517 0.0166841 0 0 0
0.0006648 -0.56221 -0.371164 0.978131 0.978131 0.606968 0.044758 0.0261496 -0.0587076 0.0193318 0 0 0
0.0006651 -0.570029 -0.353488 0.971938 0.971938 0.61845 0.0484214 0.0259797 -0.0591423 0.0219639 0 0 0
0.0006654 -0.577797 -0.335685 0.964958 0.964958 0.629273 0.0514766 0.0258075 -0.0595558 0.0245782 0 0 0
0.0006657 -0.585513 -0.317761 0.957197 0.957197 0.639436 0.0539234 0.0256331 -0.0599478 0.0271726 0 0 0
0.000666 -0.593176 -0.299723 0.948661 0.948661 0.648938 0.0557624 0.0254563 -0.0603183 0.0297449 0 0 0
0.0006663 -0.600786 -0.281576 0.939357 0.939357 0.65778 0.0569947 0.0252772 -0.060667 0.0322932 0 0 0
0.0006666 -0.608341 -0.263329 0.929292 0.929292 0.665963 0.0576221 0.0250958 -0.0609939 0.0348154 0 0 0
0.0006669 -0.615842 -0.244987 0.918476 0.918476 0.673489 0.0576466 0.0249122 -0.0612989 0.0373094 0 0 0
0.0006672 -0.623288 -0.226556 0.906916 0.906916 0.680359 0.0570713 0.0247263 -0.0615818 0.0397731 0 0 0
0.0006675 -0.630678 -0.208044 0.894621 0.894621 0.686577 0.0558994 0.0245382 -0.0618425 0.0422047 0 0 0
0.0006678 -0.63801 -0.189457 0.881603 0.881603 0.692145 0.054135 0.0243479 -0.062081 0.0446021 0 0 0
0.0006681 -0.645286 -0.170802 0.86787 0.86787 0.697068 0.0517825 0.0241554 -0.0622971 0.0469634 0 0 0
0.0006684 -0.652503 -0.152086 0.853436 0.853436 0.70135 0.048847 0.0239608 -0.0624908 0.0492867 0 0 0
0.0006687 -0.659661 -0.133315 0.83831 0.83831 0.704996 0.0453341 0.0237639 -0.0626621 0.0515701 0 0 0
0.000669 -0.666761 -0.114495 0.822506 0.822506 0.708011 0.0412499 0.023565 -0.0628107 0.0538118 0 0 0
0.0006693 -0.6738 -0.0956349 0.806036 0.806036 0.710401 0.0366011 0.0233639 -0.0629368 0.0560098 0 0 0
0.0006696 -0.680778 -0.07674 0.788913 0.788913 0.712173 0.0313949 0.0231607 -0.0630402 0.0581626 0 0 0
0.0006699 -0.687696 -0.0578176 0.771152 0.771152 0.713335 0.025639 0.0229555 -0.0631209 0.0602682 0 0 0
0.0006702 -0.694551 -0.0388743 0.752767 0.752767 0.713892 0.0193415 0.0227481 -0.0631789 0.0623251 0 0 0
0.0006705 -0.701344 -0.019917 0.733772 0.733772 0.713855 0.0125111 0.0225388 -0.0632142 0.0643315 0 0 0
0.0006708 -0.708074 -0.000952571 0.714183 0.714183 0.713231 0.00515703 0.0223273 -0.0632267 0.0662858 0 0 0
0.0006711 -0.71474 0.0180122 0.694016 0.694016 0.712029 -0.00271111 0.0221139 -0.0632165 0.0681865 0 0 0
0.0006714 -0.721341 0.0369705 0.673288 0.673288 0.710258 -0.0110832 0.0218985 -0.0631835 0.070032 0 0 0
0.0006717 -0.727878 0.0559155 0.652014 0.652014 0.707929 -0.0199488 0.0216811 -0.0631278 0.0718208 0 0 0
0.000672 -0.734349 0.0748403 0.630212 0.630212 0.705053 -0.0292967 0.0214618 -0.0630493 0.0735514 0 0 0
0.0006723 -0.740755 0.0937383 0.607901 0.607901 0.701639 -0.0391157 0.0212405 -0.0629482 0.0752225 0 0 0
