t 1 2 3 4 5 6 jL0100 jL0200 jL0300 jE0400 jE0504 jE0605 
1.35e-05 0.912158 0.664155 0.299785 0.299785 0.96394 1.8761 0.0129559 0.0472629 0.0904541 0 0 0
1.38e-05 0.90823 0.649859 0.272538 0.272538 0.922398 1.83063 0.0132289 0.0480512 0.0912265 0 0 0
1.41e-05 0.904221 0.63533 0.245071 0.245071 0.880401 1.78462 0.0135008 0.0488223 0.0919251 0 0 0
1.44e-05 0.90013 0.620571 0.217406 0.217406 0.837977 1.73811 0.0137715 0.0495757 0.0925493 0 0 0
1.47e-05 0.895958 0.60559 0.189564 0.189564 0.795153 1.69111 0.0140409 0.0503114 0.0930986 0 0 0
1.5e-05 0.891706 0.59039 0.161569 0.161569 0.751959 1.64366 0.014309 0.0510289 0.0935725 0 0 0
1.53e-05 0.887373 0.574978 0.133443 0.133443 0.708421 1.59579 0.0145759 0.0517281 0.0939707 0 0 0
1.56e-05 0.882961 0.559359 0.105209 0.105209 0.664568 1.54753 0.0148414 0.0524086 0.0942928 0 0 0
1.59e-05 0.878469 0.543538 0.0768903 0.0768903 0.620428 1.4989 0.0151056 0.0530703 0.0945386 0 0 0
1.62e-05 0.873898 0.527522 0.048509 0.048509 0.576031 1.44993 0.0153685 0.0537128 0.0947078 0 0 0
1.65e-05 0.869248 0.511316 0.0200885 0.0200885 0.531405 1.40065 0.0156299 0.0543361 0.0948004 0 0 0
1.68e-05 0.86452 0.494926 -0.00834821 -0.00834821 0.486578 1.3511 0.01589 0.0549398 0.0948162 0 0 0
1.71e-05 0.859715 0.478358 -0.0367782 -0.0367782 0.44158 1.30129 0.0161486 0.0555237 0.0947553 0 0 0
1.74e-05 0.854832 0.461618 -0.0651784 -0.0651784 0.39644 1.25127 0.0164058 0.0560876 0.0946177 0 0 0
1.77e-05 0.849872 0.444712 -0.0935258 -0.0935258 0.351186 1.20106 0.0166615 0.0566314 0.0944035 0 0 0
1.8e-05 0.844835 0.427645 -0.121797 -0.121797 0.305848 1.15068 0.0169157 0.0571547 0.0941128 0 0 0
1.83e-05 0.839723 0.410425 -0.149971 -0.149971 0.260454 1.10018 0.0171684 0.0576575 0.093746 0 0 0
1.86e-05 0.834535 0.393057 -0.178022 -0.178022 0.215035 1.04957 0.0174195 0.0581396 0.0933033 0 0 0
1.89e-05 0.829271 0.375547 -0.20593 -0.20593 0.169618 0.998889 0.0176691 0.0586007 0.092785 0 0 0
1.92e-05 0.823934 0.357903 -0.233671 -0.233671 0.124232 0.948166 0.017917 0.0590407 0.0921917 0 0 0
1.95e-05 0.818522 0.340129 -0.261222 -0.261222 0.078907 0.897429 0.0181634 0.0594595 0.0915237 0 0 0
1.98e-05 0.813036 0.322233 -0.288563 -0.288563 0.0336709 0.846707 0.0184081 0.0598569 0.0907816 0 0 0
2.01e-05 0.807477 0.304222 -0.315669 -0.315669 -0.0114476 0.79603 0.0186512 0.0602327 0.089966 0 0 0
2.04e-05 0.801846 0.2861 -0.34252 -0.34252 -0.0564199 0.745426 0.0188926 0.0605869 0.0890777 0 0 0
2.07e-05 0.796142 0.267876 -0.369094 -0.369094 -0.101218 0.694924 0.0191323 0.0609192 0.0881172 0 0 0
2.1e-05 0.790367 0.249555 -0.395369 -0.395369 -0.145814 0.644553 0.0193703 0.0612297 0.0870853 0 0 0
2.13e-05 0.784521 0.231145 -0.421324 -0.421324 -0.190179 0.594341 0.0196065 0.0615181 0.085983 0 0 0
2.16e-05 0.778604 0.212651 -0.446938 -0.446938 -0.234287 0.544317 0.019841 0.0617843 0.0848111 0 0 0
2.19e-05 0.772617 0.194081 -0.47219 -0.47219 -0.278109 0.494508 0.0200736 0.0620283 0.0835705 0 0 0
2.22e-05 0.76656 0.175441 -0.49706 -0.49706 -0.321619 0.444941 0.0203045 0.06225 0.0822622 0 0 0
2.25e-05 0.760434 0.156738 -0.521527 -0.521527 -0.364789 0.395645 0.0205336 0.0624493 0.0808874 0 0 0
2.28e-05 0.75424 0.137978 -0.545572 -0.545572 -0.407594 0.346646 0.0207607 0.0626261 0.0794471 0 0 0
2.31e-05 0.747979 0.119169 -0.569176 -0.569176 -0.450007 0.297971 0.0209861 0.0627804 0.0779425 0 0 0
2.34e-05 0.741649 0.100317 -0.592319 -0.592319 -0.492002 0.249647 0.0212095 0.0629121 0.0763748 0 0 0
2.37e-05 0.735253 0.0814282 -0.614982 -0.614982 -0.533554 0.2017 0.021431 0.0630211 0.0747452 0 0 0
2.4e-05 0.728791 0.0625107 -0.637148 -0.637148 -0.574637 0.154154 0.0216506 0.0631075 0.0730552 0 0 0
2.43e-05 0.722264 0.0435706 -0.658797 -0.658797 -0.615227 0.107037 0.0218683 0.0631711 0.071306 0 0 0
2.46e-05 0.715671 0.0246148 -0.679914 -0.679914 -0.655299 0.0603721 0.022084 0.063212 0.0694991 0 0 0
2.49e-05 0.709014 0.0056502 -0.70048 -0.70048 -0.694829 0.0141844 0.0222977 0.0632302 0.0676359 0 0 0
2.52e-05 0.702293 -0.0133165 -0.720479 -0.720479 -0.733795 -0.0315021 0.0225094 0.0632256 0.065718 0 0 0
2.55e-05 0.695509 -0.0322783 -0.739894 -0.739894 -0.772173 -0.0766637 0.022719 0.0631982 0.0637469 0 0 0
2.58e-05 0.688662 -0.0512285 -0.758711 -0.758711 -0.809939 -0.121277 0.0229267 0.0631481 0.0617242 0 0 0
2.61e-05 0.681753 -0.0701603 -0.776913 -0.776913 -0.847074 -0.16532 0.0231322 0.0630753 0.0596515 0 0 0
2.64e-05 0.674783 -0.0890669 -0.794487 -0.794487 -0.883554 -0.208771 0.0233357 0.0629797 0.0575305 0 0 0
2.67e-05 0.667753 -0.107941 -0.811418 -0.811418 -0.919359 -0.251606 0.0235371 0.0628615 0.055363 0 0 0
2.7e-05 0.660662 -0.126777 -0.827691 -0.827691 -0.954468 -0.293806 0.0237363 0.0627207 0.0531506 0 0 0
2.73e-05 0.653511 -0.145567 -0.843295 -0.843295 -0.988862 -0.33535 0.0239334 0.0625573 0.0508953 0 0 0
2.76e-05 0.646302 -0.164305 -0.858216 -0.858216 -1.02252 -0.376218 0.0241284 0.0623714 0.0485987 0 0 0
2.79e-05 0.639035 -0.182983 -0.872442 -0.872442 -1.05543 -0.41639 0.0243212 0.0621631 0.0462627 0 0 0
