t 1 2 3 4 5 6 jV0200 jV0400 
0.0306 31.0208 100 24.0792 100 0.000620416 0.000481585 -0.00344896 -0.00379604
0.0307 31.3027 100 24.3796 100 0.000626054 0.000487592 -0.00343487 -0.00378102
0.0308 31.5826 100 24.6781 100 0.000631652 0.000493561 -0.00342087 -0.0037661
0.0309 31.8606 100 24.9746 100 0.000637211 0.000499493 -0.00340697 -0.00375127
0.031 32.1366 100 25.2693 100 0.000642731 0.000505386 -0.00339317 -0.00373653
0.0311 32.4107 100 25.5621 100 0.000648213 0.000511242 -0.00337947 -0.00372189
0.0312 32.6828 100 25.8531 100 0.000653657 0.000517062 -0.00336586 -0.00370735
0.0313 32.9531 100 26.1422 100 0.000659062 0.000522844 -0.00335234 -0.00369289
0.0314 33.2215 100 26.4295 100 0.00066443 0.000528589 -0.00333893 -0.00367853
0.0315 33.488 100 26.7149 100 0.00066976 0.000534298 -0.0033256 -0.00366425
0.0316 33.7527 100 26.9986 100 0.000675054 0.000539971 -0.00331237 -0.00365007
0.0317 34.0155 100 27.2804 100 0.00068031 0.000545608 -0.00329923 -0.00363598
0.0318 34.2765 100 27.5605 100 0.00068553 0.000551209 -0.00328618 -0.00362198
0.0319 34.5356 100 27.8387 100 0.000690713 0.000556775 -0.00327322 -0.00360806
0.032 34.793 100 28.1152 100 0.00069586 0.000562305 -0.00326035 -0.00359424
0.0321 35.0485 100 28.39 100 0.000700971 0.0005678 -0.00324757 -0.0035805
0.0322 35.3023 100 28.663 100 0.000706046 0.00057326 -0.00323488 -0.00356685
0.0323 35.5543 100 28.9343 100 0.000711087 0.000578686 -0.00322228 -0.00355328
0.0324 35.8046 100 29.2039 100 0.000716091 0.000584077 -0.00320977 -0.00353981
0.0325 36.0531 100 29.4717 100 0.000721061 0.000589434 -0.00319735 -0.00352641
0.0326 36.2998 100 29.7379 100 0.000725997 0.000594757 -0.00318501 -0.00351311
0.0327 36.5449 100 30.0023 100 0.000730898 0.000600047 -0.00317276 -0.00349988
0.0328 36.7882 100 30.2651 100 0.000735765 0.000605302 -0.00316059 -0.00348674
0.0329 37.0299 100 30.5262 100 0.000740597 0.000610525 -0.00314851 -0.00347369
0.033 37.2698 100 30.7857 100 0.000745396 0.000615714 -0.00313651 -0.00346071
0.0331 37.5081 100 31.0435 100 0.000750162 0.000620871 -0.00312459 -0.00344782
0.0332 37.7447 100 31.2997 100 0.000754894 0.000625994 -0.00311276 -0.00343501
0.0333 37.9797 100 31.5543 100 0.000759594 0.000631085 -0.00310102 -0.00342229
0.0334 38.213 100 31.8072 100 0.00076426 0.000636144 -0.00308935 -0.00340964
0.0335 38.4447 100 32.0586 100 0.000768894 0.000641171 -0.00307776 -0.00339707
0.0336 38.6748 100 32.3083 100 0.000773496 0.000646166 -0.00306626 -0.00338459
0.0337 38.9033 100 32.5565 100 0.000778066 0.000651129 -0.00305484 -0.00337218
0.0338 39.1302 100 32.803 100 0.000782603 0.000656061 -0.00304349 -0.00335985
0.0339 39.3555 100 33.0481 100 0.000787109 0.000660961 -0.00303223 -0.0033476
0.034 39.5792 100 33.2915 100 0.000791584 0.000665831 -0.00302104 -0.00333542
0.0341 39.8014 100 33.5335 100 0.000796027 0.000670669 -0.00300993 -0.00332333
0.0342 40.022 100 33.7738 100 0.00080044 0.000675477 -0.0029989 -0.00331131
0.0343 40.2411 100 34.0127 100 0.000804821 0.000680254 -0.00298795 -0.00329936
0.0344 40.4586 100 34.2501 100 0.000809173 0.000685001 -0.00297707 -0.0032875
0.0345 40.6747 100 34.4859 100 0.000813493 0.000689718 -0.00296627 -0.00327571
0.0346 40.8892 100 34.7202 100 0.000817784 0.000694405 -0.00295554 -0.00326399
0.0347 41.1022 100 34.9531 100 0.000822044 0.000699062 -0.00294489 -0.00325234
0.0348 41.3138 100 35.1845 100 0.000826275 0.00070369 -0.00293431 -0.00324078
0.0349 41.5238 100 35.4144 100 0.000830477 0.000708288 -0.00292381 -0.00322928
0.035 41.7324 100 35.6429 100 0.000834649 0.000712857 -0.00291338 -0.00321786
0.0351 41.9396 100 35.8699 100 0.000838792 0.000717397 -0.00290302 -0.00320651
0.0352 42.1453 100 36.0954 100 0.000842906 0.000721909 -0.00289273 -0.00319523
0.0353 42.3496 100 36.3196 100 0.000846991 0.000726391 -0.00288252 -0.00318402
0.0354 42.5524 100 36.5423 100 0.000851048 0.000730846 -0.00287238 -0.00317289
0.0355 42.7539 100 36.7636 100 0.000855077 0.000735272 -0.00286231 -0.00316182
0.0356 42.9539 100 36.9835 100 0.000859078 0.00073967 -0.00285231 -0.00315083
0.0357 43.1525 100 37.202 100 0.00086305 0.00074404 -0.00284237 -0.0031399
0.0358 43.3498 100 37.4191 100 0.000866995 0.000748382 -0.00283251 -0.00312904
0.0359 43.5456 100 37.6348 100 0.000870912 0.000752697 -0.00282272 -0.00311826
0.036 43.7401 100 37.8492 100 0.000874802 0.000756984 -0.00281299 -0.00310754
0.0361 43.9333 100 38.0622 100 0.000878665 0.000761244 -0.00280334 -0.00309689
0.0362 44.1251 100 38.2739 100 0.000882501 0.000765478 -0.00279375 -0.00308631
0.0363 44.3155 100 38.4842 100 0.000886311 0.000769684 -0.00278422 -0.00307579
0.0364 44.5047 100 38.6932 100 0.000890093 0.000773864 -0.00277477 -0.00306534
0.0365 44.6925 100 38.9008 100 0.000893849 0.000778017 -0.00276538 -0.00305496
0.0366 44.879 100 39.1072 100 0.000897579 0.000782144 -0.00275605 -0.00304464
0.0367 45.0642 100 39.3122 100 0.000901283 0.000786244 -0.00274679 -0.00303439
0.0368 45.2481 100 39.5159 100 0.000904962 0.000790319 -0.0027376 -0.0030242
0.0369 45.4307 100 39.7184 100 0.000908614 0.000794368 -0.00272846 -0.00301408
0.037 45.6121 100 39.9195 100 0.000912241 0.000798391 -0.0027194 -0.00300402
0.0371 45.7921 100 40.1194 100 0.000915843 0.000802388 -0.00271039 -0.00299403
0.0372 45.971 100 40.318 100 0.00091942 0.000806361 -0.00270145 -0.0029841
0.0373 46.1486 100 40.5154 100 0.000922971 0.000810308 -0.00269257 -0.00297423
0.0374 46.3249 100 40.7115 100 0.000926498 0.000814229 -0.00268375 -0.00296443
0.0375 46.5 100 40.9063 100 0.00093 0.000818127 -0.002675 -0.00295468
0.0376 46.6739 100 41.0999 100 0.000933478 0.000821999 -0.0026663 -0.002945
0.0377 46.8466 100 41.2923 100 0.000936932 0.000825847 -0.00265767 -0.00293538
0.0378 47.0181 100 41.4835 100 0.000940361 0.00082967 -0.0026491 -0.00292582
0.0379 47.1884 100 41.6735 100 0.000943767 0.000833469 -0.00264058 -0.00291633
0.038 47.3574 100 41.8622 100 0.000947149 0.000837244 -0.00263213 -0.00290689
0.0381 47.5254 100 42.0498 100 0.000950507 0.000840995 -0.00262373 -0.00289751
0.0382 47.6921 100 42.2361 100 0.000953842 0.000844723 -0.0026154 -0.00288819
0.0383 47.8577 100 42.4213 100 0.000957154 0.000848426 -0.00260712 -0.00287893
0.0384 48.0221 100 42.6053 100 0.000960442 0.000852107 -0.0025989 -0.00286973
0.0385 48.1854 100 42.7882 100 0.000963707 0.000855763 -0.00259073 -0.00286059
0.0386 48.3475 100 42.9698 100 0.00096695 0.000859397 -0.00258262 -0.00285151
0.0387 48.5085 100 43.1504 100 0.00097017 0.000863008 -0.00257457 -0.00284248
0.0388 48.6684 100 43.3298 100 0.000973368 0.000866595 -0.00256658 -0.00283351
0.0389 48.8272 100 43.508 100 0.000976543 0.00087016 -0.00255864 -0.0028246
0.039 48.9848 100 43.6851 100 0.000979697 0.000873702 -0.00255076 -0.00281574
0.0391 49.1414 100 43.8611 100 0.000982828 0.000877222 -0.00254293 -0.00280694
0.0392 49.2969 100 44.036 100 0.000985937 0.00088072 -0.00253516 -0.0027982
0.0393 49.4512 100 44.2098 100 0.000989025 0.000884195 -0.00252744 -0.00278951
0.0394 49.6045 100 44.3824 100 0.000992091 0.000887648 -0.00251977 -0.00278088
0.0395 49.7568 100 44.554 100 0.000995136 0.00089108 -0.00251216 -0.0027723
0.0396 49.908 100 44.7245 100 0.000998159 0.000894489 -0.0025046 -0.00276378
0.0397 47.0016 100 44.8939 100 0.0470016 0.000897877 -0.00264992 -0.00275531
0.0398 43.3328 100 45.0622 100 0.0433328 0.000901244 -0.00283336 -0.00274689
0.0399 39.6666 100 45.2294 100 0.0396666 0.000904589 -0.00301667 -0.00273853
0.04 36.241 100 45.3956 100 0.036241 0.000907913 -0.00318795 -0.00273022
0.0401 33.1144 100 45.5608 100 0.0331144 0.000911215 -0.00334428 -0.00272196
0.0402 30.2856 100 45.7249 100 0.0302856 0.000914497 -0.00348572 -0.00271376
0.0403 27.7345 100 45.8879 100 0.0277345 0.000917758 -0.00361327 -0.0027056
0.0404 25.4369 100 46.0499 100 0.0254369 0.000920999 -0.00372815 -0.0026975
0.0405 23.3686 100 46.2109 100 0.0233686 0.000924219 -0.00383157 -0.00268945
0.0406 21.507 100 46.3709 100 0.021507 0.000927418 -0.00392465 -0.00268146
0.0407 19.8316 100 46.5298 100 0.0198316 0.000930597 -0.00400842 -0.00267351
0.0408 18.3238 100 46.6878 100 0.0183238 0.000933756 -0.00408381 -0.00266561
0.0409 16.9668 100 46.8447 100 0.0169668 0.000936895 -0.00415166 -0.00265776
0.041 15.7457 100 47.0007 100 0.0157457 0.000940014 -0.00421272 -0.00264997
0.0411 14.6467 100 47.1556 100 0.0146467 0.000943113 -0.00426767 -0.00264222
0.0412 13.6576 100 47.3096 100 0.0136576 0.000946192 -0.00431712 -0.00263452
0.0413 12.7676 100 47.4626 100 0.0127676 0.000949252 -0.00436162 -0.00262687
0.0414 11.9665 100 47.6146 100 0.0119665 0.000952293 -0.00440167 -0.00261927
0.0415 11.2457 100 47.7657 100 0.0112457 0.000955314 -0.00443772 -0.00261171
0.0416 10.5969 100 47.9158 100 0.0105969 0.000958316 -0.00447015 -0.00260421
0.0417 10.0131 100 48.065 100 0.0100131 0.000961299 -0.00449934 -0.00259675
0.0418 10.1047 100 48.2132 100 0.000202093 0.000964264 -0.00449477 -0.00258934
0.0419 10.4199 100 48.3604 100 0.000208398 0.000967209 -0.004479 -0.00258198
0.042 10.8079 100 48.5068 100 0.000216158 0.000970136 -0.00445961 -0.00257466
0.0421 11.2182 100 48.6522 100 0.000224364 0.000973044 -0.00443909 -0.00256739
0.0422 11.634 100 48.7967 100 0.00023268 0.000975933 -0.0044183 -0.00256017
0.0423 12.0497 100 48.9402 100 0.000240994 0.000978805 -0.00439752 -0.00255299
0.0424 12.4634 100 49.0829 100 0.000249269 0.000981658 -0.00437683 -0.00254586
0.0425 12.8746 100 49.2246 100 0.000257492 0.000984493 -0.00435627 -0.00253877
0.0426 13.283 100 49.3655 100 0.00026566 0.00098731 -0.00433585 -0.00253173
0.0427 13.6886 100 49.5054 100 0.000273772 0.000990109 -0.00431557 -0.00252473
0.0428 14.0914 100 49.6445 100 0.000281827 0.00099289 -0.00429543 -0.00251777
0.0429 14.4913 100 49.7827 100 0.000289826 0.000995654 -0.00427543 -0.00251086
0.043 14.8885 100 49.92 100 0.00029777 0.0009984 -0.00425558 -0.002504
0.0431 15.2829 100 47.2613 100 0.000305658 0.0472613 -0.00423585 -0.00263694
0.0432 15.6746 100 43.8854 100 0.000313491 0.0438854 -0.00421627 -0.00280573
0.0433 16.0635 100 40.4867 100 0.00032127 0.0404867 -0.00419683 -0.00297567
0.0434 16.4497 100 37.2842 100 0.000328994 0.0372842 -0.00417752 -0.00313579
0.0435 16.8332 100 34.3348 100 0.000336664 0.0343348 -0.00415834 -0.00328326
0.0436 17.214 100 31.6411 100 0.000344281 0.0316411 -0.0041393 -0.00341794
0.0437 17.5922 100 29.1888 100 0.000351844 0.0291888 -0.00412039 -0.00354056
0.0438 17.9678 100 26.9588 100 0.000359355 0.0269588 -0.00410161 -0.00365206
0.0439 18.3407 100 24.932 100 0.000366814 0.024932 -0.00408297 -0.0037534
0.044 18.711 100 23.09 100 0.00037422 0.02309 -0.00406445 -0.0038455
0.0441 19.0788 100 21.4162 100 0.000381575 0.0214162 -0.00404606 -0.00392919
0.0442 19.4439 100 19.8952 100 0.000388879 0.0198952 -0.0040278 -0.00400524
0.0443 19.8066 100 18.5132 100 0.000396131 0.0185132 -0.00400967 -0.00407434
0.0444 20.1667 100 17.2573 100 0.000403333 0.0172573 -0.00399167 -0.00413713
0.0445 20.5242 100 16.1162 100 0.000410485 0.0161162 -0.00397379 -0.00419419
0.0446 20.8793 100 15.0792 100 0.000417587 0.0150792 -0.00395603 -0.00424604
0.0447 21.2319 100 14.137 100 0.000424639 0.014137 -0.0039384 -0.00429315
0.0448 21.5821 100 13.2808 100 0.000431642 0.0132808 -0.00392089 -0.00433596
0.0449 21.9298 100 12.5028 100 0.000438596 0.0125028 -0.00390351 -0.00437486
0.045 22.2751 100 11.7958 100 0.000445502 0.0117958 -0.00388624 -0.00441021
0.0451 22.618 100 11.1534 100 0.00045236 0.0111534 -0.0038691 -0.00444233
0.0452 22.9585 100 10.5697 100 0.000459169 0.0105697 -0.00385208 -0.00447151
0.0453 23.2966 100 10.0393 100 0.000465932 0.0100393 -0.00383517 -0.00449803
0.0454 23.6323 100 10.1226 100 0.000472647 0.000202452 -0.00381838 -0.00449387
0.0455 23.9657 100 10.4092 100 0.000479315 0.000208185 -0.00380171 -0.00447954
0.0456 24.2968 100 10.7622 100 0.000485937 0.000215243 -0.00378516 -0.00446189
0.0457 24.6256 100 11.1356 100 0.000492512 0.000222712 -0.00376872 -0.00444322
0.0458 24.9521 100 11.5142 100 0.000499042 0.000230285 -0.0037524 -0.00442429
0.0459 25.2763 100 11.893 100 0.000505526 0.000237861 -0.00373619 -0.00440535
0.046 25.5982 100 12.2703 100 0.000511965 0.000245405 -0.00372009 -0.00438649
0.0461 25.9179 100 12.6454 100 0.000518359 0.000252908 -0.0037041 -0.00436773
0.0462 26.2354 100 13.0182 100 0.000524708 0.000260365 -0.00368823 -0.00434909
0.0463 26.5507 100 13.3888 100 0.000531013 0.000267775 -0.00367247 -0.00433056
0.0464 26.8637 100 13.7569 100 0.000537274 0.000275139 -0.00365681 -0.00431215
0.0465 27.1746 100 14.1228 100 0.000543492 0.000282455 -0.00364127 -0.00429386
0.0466 27.4833 100 14.4863 100 0.000549666 0.000289726 -0.00362584 -0.00427569
0.0467 27.7898 100 14.8475 100 0.000555797 0.00029695 -0.00361051 -0.00425762
0.0468 28.0942 100 15.2064 100 0.000561885 0.000304129 -0.00359529 -0.00423968
0.0469 28.3965 100 15.5631 100 0.00056793 0.000311261 -0.00358017 -0.00422185
0.047 28.6967 100 15.9175 100 0.000573934 0.000318349 -0.00356517 -0.00420413
0.0471 28.9948 100 16.2696 100 0.000579896 0.000325392 -0.00355026 -0.00418652
0.0472 29.2908 100 16.6195 100 0.000585816 0.00033239 -0.00353546 -0.00416903
0.0473 29.5847 100 16.9672 100 0.000591695 0.000339344 -0.00352076 -0.00415164
0.0474 29.8766 100 17.3127 100 0.000597532 0.000346253 -0.00350617 -0.00413437
0.0475 30.1665 100 17.6559 100 0.000603329 0.000353119 -0.00349168 -0.0041172
0.0476 30.4543 100 17.997 100 0.000609086 0.000359941 -0.00347729 -0.00410015
0.0477 30.7401 100 18.336 100 0.000614802 0.00036672 -0.00346299 -0.0040832
0.0478 31.024 100 18.6728 100 0.000620479 0.000373456 -0.0034488 -0.00406636
0.0479 31.3058 100 19.0074 100 0.000626116 0.000380149 -0.00343471 -0.00404963
0.048 31.5857 100 19.34 100 0.000631714 0.000386799 -0.00342072 -0.004033
0.0481 31.8636 100 19.6704 100 0.000637272 0.000393408 -0.00340682 -0.00401648
0.0482 32.1396 100 19.9987 100 0.000642792 0.000399975 -0.00339302 -0.00400006
0.0483 32.4137 100 20.325 100 0.000648273 0.000406499 -0.00337932 -0.00398375
0.0484 32.6858 100 20.6492 100 0.000653717 0.000412983 -0.00336571 -0.00396754
0.0485 32.9561 100 20.9713 100 0.000659122 0.000419425 -0.0033522 -0.00395144
0.0486 33.2245 100 21.2913 100 0.000664489 0.000425827 -0.00333878 -0.00393543
0.0487 33.491 100 21.6094 100 0.000669819 0.000432188 -0.00332545 -0.00391953
0.0488 33.7556 100 21.9254 100 0.000675112 0.000438508 -0.00331222 -0.00390373
0.0489 34.0184 100 22.2394 100 0.000680368 0.000444789 -0.00329908 -0.00388803
0.049 34.2794 100 22.5515 100 0.000685587 0.00045103 -0.00328603 -0.00387243
0.0491 34.5385 100 22.8615 100 0.00069077 0.000457231 -0.00327308 -0.00385692
0.0492 34.7958 100 23.1696 100 0.000695916 0.000463392 -0.00326021 -0.00384152
0.0493 35.0514 100 23.4757 100 0.000701027 0.000469515 -0.00324743 -0.00382621
0.0494 35.3051 100 23.7799 100 0.000706102 0.000475599 -0.00323474 -0.003811
0.0495 35.5571 100 24.0822 100 0.000711142 0.000481644 -0.00322214 -0.00379589
0.0496 35.8073 100 24.3825 100 0.000716147 0.000487651 -0.00320963 -0.00378087
0.0497 36.0558 100 24.681 100 0.000721116 0.00049362 -0.00319721 -0.00376595
0.0498 36.3026 100 24.9775 100 0.000726051 0.00049955 -0.00318487 -0.00375112
0.0499 36.5476 100 25.2722 100 0.000730952 0.000505444 -0.00317262 -0.00373639
0.05 36.7909 100 25.565 100 0.000735818 0.0005113 -0.00316045 -0.00372175
0.0501 37.0325 100 25.8559 100 0.000740651 0.000517118 -0.00314837 -0.0037072
0.0502 37.2725 100 26.145 100 0.000745449 0.0005229 -0.00313638 -0.00369275
0.0503 37.5107 100 26.4323 100 0.000750215 0.000528645 -0.00312446 -0.00367839
0.0504 37.7473 100 26.7177 100 0.000754947 0.000534354 -0.00311263 -0.00366412
0.0505 37.9823 100 27.0013 100 0.000759645 0.000540026 -0.00310089 -0.00364993
0.0506 38.2156 100 27.2831 100 0.000764312 0.000545663 -0.00308922 -0.00363584
0.0507 38.4473 100 27.5632 100 0.000768945 0.000551264 -0.00307764 -0.00362184
0.0508 38.6773 100 27.8414 100 0.000773547 0.000556829 -0.00306613 -0.00360793
0.0509 38.9058 100 28.1179 100 0.000778116 0.000562359 -0.00305471 -0.0035941
0.051 39.1327 100 28.3927 100 0.000782653 0.000567854 -0.00304337 -0.00358037
0.0511 39.358 100 28.6657 100 0.000787159 0.000573314 -0.0030321 -0.00356672
0.0512 39.5817 100 28.9369 100 0.000791633 0.000578739 -0.00302092 -0.00355315
0.0513 39.8038 100 29.2065 100 0.000796076 0.00058413 -0.00300981 -0.00353968
0.0514 40.0244 100 29.4743 100 0.000800488 0.000589487 -0.00299878 -0.00352628
0.0515 40.2435 100 29.7405 100 0.00080487 0.000594809 -0.00298783 -0.00351298
0.0516 40.461 100 30.0049 100 0.00080922 0.000600098 -0.00297695 -0.00349975
0.0517 40.677 100 30.2677 100 0.000813541 0.000605354 -0.00296615 -0.00348662
0.0518 40.8916 100 30.5288 100 0.000817831 0.000610576 -0.00295542 -0.00347356
0.0519 41.1046 100 30.7882 100 0.000822091 0.000615765 -0.00294477 -0.00346059
0.052 41.3161 100 31.046 100 0.000826322 0.000620921 -0.00293419 -0.0034477
0.0521 41.5262 100 31.3022 100 0.000830523 0.000626044 -0.00292369 -0.00343489
0.0522 41.7347 100 31.5568 100 0.000834695 0.000631135 -0.00291326 -0.00342216
0.0523 41.9419 100 31.8097 100 0.000838838 0.000636194 -0.00290291 -0.00340952
0.0524 42.1476 100 32.061 100 0.000842951 0.00064122 -0.00289262 -0.00339695
0.0525 42.3518 100 32.3107 100 0.000847037 0.000646215 -0.00288241 -0.00338446
0.0526 42.5547 100 32.5589 100 0.000851093 0.000651178 -0.00287227 -0.00337206
0.0527 42.7561 100 32.8055 100 0.000855121 0.000656109 -0.0028622 -0.00335973
0.0528 42.9561 100 33.0505 100 0.000859122 0.000661009 -0.0028522 -0.00334748
0.0529 43.1547 100 33.2939 100 0.000863094 0.000665878 -0.00284227 -0.0033353
0.053 43.3519 100 33.5358 100 0.000867038 0.000670716 -0.0028324 -0.00332321
0.0531 43.5478 100 33.7762 100 0.000870956 0.000675524 -0.00282261 -0.00331119
0.0532 43.7423 100 34.015 100 0.000874845 0.000680301 -0.00281289 -0.00329925
0.0533 43.9354 100 34.2524 100 0.000878708 0.000685047 -0.00280323 -0.00328738
0.0534 44.1272 100 34.4882 100 0.000882544 0.000689764 -0.00279364 -0.00327559
0.0535 44.3176 100 34.7225 100 0.000886352 0.000694451 -0.00278412 -0.00326387
0.0536 44.5067 100 34.9554 100 0.000890135 0.000699108 -0.00277466 -0.00325223
0.0537 44.6945 100 35.1867 100 0.000893891 0.000703735 -0.00276527 -0.00324066
0.0538 44.881 100 35.4166 100 0.000897621 0.000708333 -0.00275595 -0.00322917
0.0539 45.0662 100 35.6451 100 0.000901324 0.000712902 -0.00274669 -0.00321775
0.054 45.2501 100 35.8721 100 0.000905002 0.000717442 -0.00273749 -0.0032064
0.0541 45.4327 100 36.0976 100 0.000908654 0.000721953 -0.00272836 -0.00319512
0.0542 45.6141 100 36.3218 100 0.000912281 0.000726435 -0.0027193 -0.00318391
0.0543 45.7941 100 36.5445 100 0.000915883 0.000730889 -0.00271029 -0.00317278
0.0544 45.973 100 36.7657 100 0.000919459 0.000735315 -0.00270135 -0.00316171
0.0545 46.1505 100 36.9856 100 0.00092301 0.000739713 -0.00269247 -0.00315072
0.0546 46.3269 100 37.2041 100 0.000926537 0.000744082 -0.00268366 -0.00313979
0.0547 46.502 100 37.4212 100 0.000930039 0.000748424 -0.0026749 -0.00312894
0.0548 46.6758 100 37.6369 100 0.000933517 0.000752739 -0.00266621 -0.00311815
0.0549 46.8485 100 37.8513 100 0.00093697 0.000757026 -0.00265757 -0.00310743
0.055 47.02 100 38.0643 100 0.000940399 0.000761286 -0.002649 -0.00309678
0.0551 47.1902 100 38.276 100 0.000943805 0.000765519 -0.00264049 -0.0030862
0.0552 47.3593 100 38.4863 100 0.000947186 0.000769725 -0.00263203 -0.00307569
0.0553 47.5272 100 38.6952 100 0.000950544 0.000773905 -0.00262364 -0.00306524
0.0554 47.6939 100 38.9029 100 0.000953879 0.000778057 -0.0026153 -0.00305486
0.0555 47.8595 100 39.1092 100 0.00095719 0.000782184 -0.00260702 -0.00304454
0.0556 48.0239 100 39.3142 100 0.000960478 0.000786284 -0.0025988 -0.00303429
0.0557 48.1872 100 39.5179 100 0.000963743 0.000790359 -0.00259064 -0.0030241
0.0558 48.3493 100 39.7204 100 0.000966986 0.000794407 -0.00258254 -0.00301398
0.0559 48.5103 100 39.9215 100 0.000970206 0.00079843 -0.00257449 -0.00300392
0.056 48.6702 100 40.1214 100 0.000973403 0.000802427 -0.00256649 -0.00299393
0.0561 48.8289 100 40.32 100 0.000976578 0.000806399 -0.00255855 -0.002984
0.0562 48.9866 100 40.5173 100 0.000979731 0.000810346 -0.00255067 -0.00297413
0.0563 49.1431 100 40.7134 100 0.000982862 0.000814268 -0.00254284 -0.00296433
0.0564 49.2986 100 40.9082 100 0.000985971 0.000818165 -0.00253507 -0.00295459
0.0565 49.4529 100 41.1018 100 0.000989059 0.000822037 -0.00252735 -0.00294491
0.0566 49.6062 100 41.2942 100 0.000992125 0.000825884 -0.00251969 -0.00293529
0.0567 49.7585 100 41.4854 100 0.000995169 0.000829707 -0.00251208 -0.00292573
0.0568 49.9096 100 41.6753 100 0.000998192 0.000833506 -0.00250452 -0.00291623
0.0569 47.0031 100 41.8641 100 0.0470031 0.000837281 -0.00264984 -0.0029068
0.057 43.3342 100 42.0516 100 0.0433342 0.000841032 -0.00283329 -0.00289742
0.0571 39.6678 100 42.238 100 0.0396678 0.000844759 -0.00301661 -0.0028881
0.0572 36.2421 100 42.4231 100 0.0362421 0.000848463 -0.00318789 -0.00287884
0.0573 33.1154 100 42.6071 100 0.0331154 0.000852142 -0.00334423 -0.00286964
0.0574 30.2865 100 42.79 100 0.0302865 0.000855799 -0.00348567 -0.0028605
0.0575 27.7354 100 42.9716 100 0.0277354 0.000859432 -0.00361323 -0.00285142
0.0576 25.4377 100 43.1521 100 0.0254377 0.000863043 -0.00372812 -0.00284239
0.0577 23.3693 100 43.3315 100 0.0233693 0.00086663 -0.00383154 -0.00283342
0.0578 21.5076 100 43.5097 100 0.0215076 0.000870195 -0.00392462 -0.00282451
0.0579 19.8321 100 43.6868 100 0.0198321 0.000873737 -0.00400839 -0.00281566
0.058 18.3243 100 43.8628 100 0.0183243 0.000877257 -0.00408379 -0.00280686
0.0581 16.9673 100 44.0377 100 0.0169673 0.000880754 -0.00415164 -0.00279812
0.0582 15.7461 100 44.2114 100 0.0157461 0.000884229 -0.0042127 -0.00278943
0.0583 14.647 100 44.3841 100 0.014647 0.000887682 -0.00426765 -0.0027808
0.0584 13.658 100 44.5557 100 0.013658 0.000891113 -0.0043171 -0.00277222
0.0585 12.7679 100 44.7261 100 0.0127679 0.000894523 -0.00436161 -0.00276369
0.0586 11.9668 100 44.8955 100 0.0119668 0.00089791 -0.00440166 -0.00275522
0.0587 11.2459 100 45.0638 100 0.0112459 0.000901277 -0.0044377 -0.00274681
0.0588 10.5972 100 45.2311 100 0.0105972 0.000904621 -0.00447014 -0.00273845
0.0589 10.0133 100 45.3973 100 0.0100133 0.000907945 -0.00449934 -0.00273014
0.059 10.1049 100 45.5624 100 0.000202097 0.000911248 -0.00449476 -0.00272188
0.0591 10.4201 100 45.7265 100 0.000208402 0.000914529 -0.004479 -0.00271368
0.0592 10.8081 100 45.8895 100 0.000216161 0.00091779 -0.0044596 -0.00270552
0.0593 11.2184 100 46.0515 100 0.000224367 0.00092103 -0.00443908 -0.00269742
0.0594 11.6342 100 46.2125 100 0.000232683 0.00092425 -0.00441829 -0.00268938
0.0595 12.0499 100 46.3725 100 0.000240997 0.000927449 -0.00439751 -0.00268138
0.0596 12.4636 100 46.5314 100 0.000249272 0.000930628 -0.00437682 -0.00267343
0.0597 12.8748 100 46.6893 100 0.000257495 0.000933787 -0.00435626 -0.00266553
0.0598 13.2832 100 46.8463 100 0.000265663 0.000936925 -0.00433584 -0.00265769
0.0599 13.6888 100 47.0022 100 0.000273775 0.000940044 -0.00431556 -0.00264989
0.06 14.0915 100 47.1572 100 0.000281831 0.000943143 -0.00429542 -0.00264214
0.0601 14.4915 100 47.3111 100 0.00028983 0.000946222 -0.00427543 -0.00263444
0.0602 14.8887 100 47.4641 100 0.000297773 0.000949282 -0.00425557 -0.00262679
0.0603 15.2831 100 47.6161 100 0.000305661 0.000952323 -0.00423585 -0.00261919
0.0604 15.6747 100 47.7672 100 0.000313494 0.000955344 -0.00421626 -0.00261164
0.0605 16.0636 100 47.9173 100 0.000321273 0.000958346 -0.00419682 -0.00260414
0.0606 16.4498 100 48.0664 100 0.000328997 0.000961329 -0.00417751 -0.00259668
0.0607 16.8334 100 48.2146 100 0.000336667 0.000964292 -0.00415833 -0.00258927
0.0608 17.2142 100 48.3619 100 0.000344284 0.000967238 -0.00413929 -0.00258191
0.0609 17.5924 100 48.5082 100 0.000351848 0.000970164 -0.00412038 -0.00257459
0.061 17.9679 100 48.6536 100 0.000359358 0.000973072 -0.0041016 -0.00256732
0.0611 18.3408 100 48.7981 100 0.000366817 0.000975962 -0.00408296 -0.0025601
0.0612 18.7112 100 48.9416 100 0.000374223 0.000978833 -0.00406444 -0.00255292
0.0613 19.0789 100 49.0843 100 0.000381578 0.000981686 -0.00404605 -0.00254579
0.0614 19.4441 100 49.226 100 0.000388882 0.00098452 -0.0040278 -0.0025387
0.0615 19.8067 100 49.3669 100 0.000396134 0.000987337 -0.00400966 -0.00253166
0.0616 20.1668 100 49.5068 100 0.000403336 0.000990136 -0.00399166 -0.00252466
0.0617 20.5244 100 49.6459 100 0.000410488 0.000992917 -0.00397378 -0.00251771
