t 1 2 3 4 5 6 7 8 9 jO0500 jO0100 jO0300 jV0900 
2.1e-05 -1.35282 0 -1.46847 -0.001467 1.35282 0.00135147 0 0 2 -0.00270429 -0.000114181 0.00281847 0
2.15e-05 -1.28032 0 -1.53136 -0.00152983 1.28032 0.00127904 0 0 2 -0.00255935 -0.000249516 0.00280887 0
2.2e-05 -1.20312 0 -1.59239 -0.0015908 1.20312 0.00120192 0 0 2 -0.00240504 -0.000387679 0.00279272 0
2.25e-05 -1.12244 0 -1.65011 -0.00164846 1.12244 0.00112132 0 0 2 -0.00224376 -0.000526022 0.00276978 0
2.3e-05 -1.03881 0 -1.70394 -0.00170224 1.03881 0.00103777 0 0 2 -0.00207658 -0.000663435 0.00274001 0
2.35e-05 -0.952534 0 -1.75361 -0.00175186 0.952534 0.000951582 0 0 2 -0.00190412 -0.000799323 0.00270344 0
2.4e-05 -0.863872 0 -1.79893 -0.00179713 0.863872 0.000863009 0 0 2 -0.00172688 -0.000933261 0.00266014 0
2.45e-05 -0.773053 0 -1.83978 -0.00183794 0.773053 0.00077228 0 0 2 -0.00154533 -0.00106489 0.00261022 0
2.5e-05 -0.680307 0 -1.87605 -0.00187418 0.680307 0.000679628 0 0 2 -0.00135993 -0.00119387 0.0025538 0
2.55e-05 -0.585867 0 -1.90765 -0.00190574 0.585867 0.000585282 0 0 2 -0.00117115 -0.00131988 0.00249103 0
2.6e-05 -0.489968 0 -1.9345 -0.00193257 0.489968 0.000489479 0 0 2 -0.000979447 -0.0014426 0.00242205 0
2.65e-05 -0.39285 0 -1.95653 -0.00195458 0.39285 0.000392457 0 0 2 -0.000785307 -0.00156173 0.00234703 0
2.7e-05 -0.294753 0 -1.97369 -0.00197172 0.294753 0.000294458 0 0 2 -0.000589211 -0.00167697 0.00226618 0
2.75e-05 -0.195922 0 -1.98593 -0.00198395 0.195922 0.000195726 0 0 2 -0.000391648 -0.00178803 0.00217968 0
2.8e-05 -0.162978 0 -1.99002 -1.99002 0.162978 0.162978 0 0 1.30867e-13 -0.000162978 0.000162978 1.52741e-18 0
2.85e-05 -0.151997 0 -1.99138 -1.99138 0.151997 0.151997 0 0 0 -0.000151997 0.000151997 3.5136e-18 0
2.9e-05 -0.148337 0 -1.99183 -1.99183 0.148337 0.148337 0 0 0 -0.000148337 0.000148337 1.86739e-18 0
2.95e-05 -0.147117 0 -1.99198 -1.99198 0.147117 0.147117 0 0 0 -0.000147117 0.000147117 3.77417e-18 0
3e-05 -0.14671 0 -1.99203 -1.99203 0.14671 0.14671 0 0 0 -0.00014671 0.00014671 4.41622e-18 0
3.05e-05 -0.146574 0 -1.99205 -1.99205 0.146574 0.146574 0 0 0 -0.000146574 0.000146574 2.32066e-18 0
3.1e-05 -0.146529 0 -1.99205 -1.99205 0.146529 0.146529 0 0 0 -0.000146529 0.000146529 4.14601e-18 0
3.15e-05 -0.146514 0 -1.99206 -1.99206 0.146514 0.146514 0 0 0 -0.000146514 0.000146514 6.2151e-20 0
3.2e-05 -0.146509 0 -1.99206 -1.99206 0.146509 0.146509 0 0 0 -0.000146509 0.000146509 3.32482e-18 0
3.25e-05 -0.146508 0 -1.99206 -1.99206 0.146508 0.146508 0 0 0 -0.000146508 0.000146508 4.48398e-18 0
3.3e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 1.01856e-19 0
3.35e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 -1.35949e-18 0
3.4e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 -1.69947e-18 0
3.45e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 4.98087e-18 0
3.5e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 2.87345e-18 0
3.55e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 4.62724e-18 0
