t 1 2 jL0100 
13.7 0.99124 -0.925125 -0.984606
13.8 0.987253 -0.804669 -0.885771
13.9 0.980207 -0.678931 -0.78748
14 0.970589 -0.547615 -0.69001
14.1 0.958901 -0.410647 -0.593593
14.2 0.94565 -0.267965 -0.498411
14.3 0.931336 -0.119452 -0.404594
14.4 0.916454 0.0350931 -0.312225
14.5 0.901494 0.195964 -0.221336
14.6 0.886937 0.363557 -0.13191
14.7 0.87326 0.538371 -0.0438844
14.8 0.860935 0.721019 0.0428532
14.9 0.850431 0.912232 0.128461
15 0.841976 1.10575 0.213129
15.1 0.83545 1.29418 0.297048
15.2 0.830543 1.47543 0.380391
15.3 0.826873 1.64915 0.463296
15.4 0.824047 1.81553 0.545868
15.5 0.821689 1.97486 0.628171
15.6 0.819449 2.12745 0.710236
15.7 0.817005 2.27354 0.792057
15.8 0.814065 2.41334 0.873602
15.9 0.810365 2.54699 0.954808
16 0.805669 2.67459 1.03559
16.1 0.799765 2.7962 1.11583
16.2 0.792467 2.91185 1.19541
16.3 0.783613 3.02153 1.27418
16.4 0.773062 3.12522 1.35197
16.5 0.760695 3.22284 1.42862
16.6 0.746414 3.31435 1.50393
16.7 0.730141 3.39966 1.5777
16.8 0.711816 3.47869 1.64975
16.9 0.691399 3.55133 1.71986
17 0.668866 3.6175 1.78782
17.1 0.644211 3.6771 1.85342
17.2 0.617443 3.73004 1.91645
17.3 0.588588 3.77625 1.9767
17.4 0.557686 3.81564 2.03396
17.5 0.524792 3.84815 2.08804
17.6 0.489974 3.87373 2.13873
17.7 0.453313 3.89235 2.18584
17.8 0.414902 3.90398 2.22921
17.9 0.374847 3.90863 2.26866
18 0.333264 3.9063 2.30402
18.1 0.290278 3.89703 2.33516
18.2 0.246026 3.88088 2.36194
18.3 0.20065 3.85793 2.38425
18.4 0.154305 3.82826 2.40197
18.5 0.107149 3.79201 2.41502
18.6 0.0593472 3.74931 2.42333
18.7 0.0110721 3.70033 2.42683
18.8 -0.0375004 3.64525 2.4255
18.9 -0.0861901 3.58429 2.41931
19 -0.134814 3.51767 2.40826
19.1 -0.183185 3.44564 2.39237
19.2 -0.231118 3.36849 2.37166
19.3 -0.278424 3.28649 2.3462
19.4 -0.324915 3.19998 2.31605
19.5 -0.370405 3.10927 2.2813
19.6 -0.41471 3.01471 2.24207
19.7 -0.457646 2.91668 2.19849
19.8 -0.499037 2.81555 2.15069
19.9 -0.538706 2.71172 2.09885
20 -0.576486 2.6056 2.04313
20.1 -0.612213 2.4976 1.98374
20.2 -0.64573 2.38815 1.9209
20.3 -0.676887 2.2777 1.85483
20.4 -0.705545 2.16668 1.78577
20.5 -0.731568 2.05555 1.71397
20.6 -0.754835 1.94476 1.63972
20.7 -0.775231 1.83476 1.56329
20.8 -0.792654 1.726 1.48497
20.9 -0.807011 1.61895 1.40506
21 -0.818221 1.51404 1.32388
21.1 -0.826216 1.41172 1.24173
21.2 -0.830939 1.31243 1.15896
21.3 -0.832346 1.21659 1.07587
21.4 -0.830405 1.12462 0.99282
21.5 -0.8251 1.03692 0.910129
21.6 -0.816529 0.950779 0.82813
21.7 -0.80495 0.863198 0.747134
21.8 -0.790704 0.773395 0.667421
21.9 -0.77417 0.681283 0.589239
22 -0.755732 0.586964 0.512796
22.1 -0.735775 0.490568 0.438264
22.2 -0.71467 0.392195 0.365775
22.3 -0.69278 0.291893 0.295426
22.4 -0.670456 0.189657 0.22728
22.5 -0.648037 0.0854196 0.161362
22.6 -0.62585 -0.020946 0.0976661
22.7 -0.604213 -0.129632 0.0361532
22.8 -0.583432 -0.240894 -0.0232465
22.9 -0.563805 -0.355059 -0.0806334
23 -0.545622 -0.47252 -0.136137
23.1 -0.529165 -0.593745 -0.189916
23.2 -0.514714 -0.719278 -0.242157
23.3 -0.502541 -0.849742 -0.293073
23.4 -0.492919 -0.985844 -0.342906
23.5 -0.485845 -1.12029 -0.391907
23.6 -0.481115 -1.25011 -0.440315
23.7 -0.478431 -1.37471 -0.488346
23.8 -0.477466 -1.49422 -0.536188
23.9 -0.477897 -1.60895 -0.583995
24 -0.479418 -1.71927 -0.631892
24.1 -0.481743 -1.8255 -0.679973
24.2 -0.484606 -1.9279 -0.728308
24.3 -0.487763 -2.02671 -0.776937
24.4 -0.490988 -2.12209 -0.825879
24.5 -0.494075 -2.21417 -0.875131
24.6 -0.496836 -2.30305 -0.924671
24.7 -0.499097 -2.3888 -0.974458
24.8 -0.500704 -2.47143 -1.02443
24.9 -0.501515 -2.55096 -1.07453
25 -0.501404 -2.62737 -1.12465
25.1 -0.500258 -2.70061 -1.17471
25.2 -0.497979 -2.77065 -1.22459
25.3 -0.494481 -2.8374 -1.27419
25.4 -0.489691 -2.90079 -1.32337
25.5 -0.483547 -2.96074 -1.37199
25.6 -0.476 -3.01716 -1.41994
25.7 -0.467012 -3.06995 -1.46705
25.8 -0.456556 -3.11901 -1.51319
25.9 -0.444615 -3.16424 -1.55822
26 -0.431183 -3.20557 -1.60197
26.1 -0.416265 -3.24288 -1.6443
26.2 -0.399874 -3.2761 -1.68507
26.3 -0.382034 -3.30515 -1.72413
26.4 -0.362776 -3.32995 -1.76134
26.5 -0.342141 -3.35044 -1.79655
26.6 -0.320179 -3.36658 -1.82963
26.7 -0.296946 -3.37831 -1.86046
26.8 -0.272507 -3.38562 -1.8889
26.9 -0.246934 -3.38847 -1.91484
27 -0.220306 -3.38687 -1.93817
27.1 -0.192707 -3.38082 -1.9588
27.2 -0.164228 -3.37036 -1.97662
27.3 -0.134966 -3.35551 -1.99156
27.4 -0.105022 -3.33634 -2.00354
27.5 -0.0745014 -3.3129 -2.0125
27.6 -0.0435147 -3.28528 -2.01839
27.7 -0.0121753 -3.25359 -2.02117
27.8 0.0194004 -3.21793 -2.0208
27.9 0.0510933 -3.17844 -2.01727
28 0.0827824 -3.13525 -2.01057
28.1 0.114345 -3.08853 -2.00072
28.2 0.145658 -3.03845 -1.98772
28.3 0.176597 -2.98519 -1.97162
28.4 0.207038 -2.92896 -1.95245
28.5 0.236858 -2.86996 -1.93027
28.6 0.265936 -2.80842 -1.90514
28.7 0.294151 -2.74457 -1.87716
28.8 0.321385 -2.67866 -1.84641
28.9 0.347522 -2.61095 -1.81299
29 0.372452 -2.54169 -1.77702
29.1 0.396065 -2.47117 -1.73862
29.2 0.418259 -2.39965 -1.69794
29.3 0.438933 -2.32742 -1.65512
29.4 0.457993 -2.25477 -1.61031
29.5 0.475352 -2.18199 -1.56368
29.6 0.490927 -2.10938 -1.51541
29.7 0.504642 -2.03724 -1.46568
29.8 0.516428 -1.96585 -1.41467
29.9 0.526223 -1.89552 -1.36259
30 0.533971 -1.82653 -1.30963
30.1 0.539628 -1.75919 -1.256
30.2 0.543152 -1.69377 -1.20192
30.3 0.544515 -1.63055 -1.14759
30.4 0.543693 -1.56982 -1.09323
30.5 0.540673 -1.51182 -1.03907
30.6 0.535449 -1.45683 -0.985317
30.7 0.528026 -1.40508 -0.932198
30.8 0.518417 -1.35681 -0.87993
30.9 0.506642 -1.31224 -0.828732
31 0.492732 -1.27159 -0.778817
31.1 0.476726 -1.23505 -0.730397
31.2 0.458672 -1.2028 -0.683679
31.3 0.438627 -1.175 -0.638864
31.4 0.416655 -1.1518 -0.596149
31.5 0.39283 -1.13333 -0.555722
31.6 0.367232 -1.11971 -0.517764
31.7 0.339951 -1.11103 -0.482448
31.8 0.311083 -1.10736 -0.449937
31.9 0.280733 -1.10876 -0.420385
32 0.249009 -1.11526 -0.393933
32.1 0.216029 -1.12688 -0.370714
32.2 0.181916 -1.14361 -0.350847
32.3 0.146797 -1.16543 -0.334438
32.4 0.110807 -1.19229 -0.321581
32.5 0.0740829 -1.22412 -0.312357
32.6 0.036767 -1.26084 -0.306831
32.7 -0.000995476 -1.30233 -0.305055
32.8 -0.039056 -1.34846 -0.307067
32.9 -0.0772637 -1.3991 -0.312888
33 -0.115466 -1.45406 -0.322527
33.1 -0.153509 -1.51317 -0.335973
33.2 -0.191239 -1.57622 -0.353205
33.3 -0.228501 -1.64298 -0.374182
33.4 -0.265142 -1.71322 -0.398851
33.5 -0.301008 -1.78669 -0.427141
33.6 -0.33595 -1.86311 -0.458968
33.7 -0.36982 -1.9422 -0.494231
33.8 -0.402472 -2.02366 -0.532817
33.9 -0.433766 -2.10718 -0.574597
34 -0.463565 -2.19245 -0.619428
34.1 -0.491737 -2.27914 -0.667154
34.2 -0.518156 -2.3669 -0.717606
34.3 -0.5427 -2.4554 -0.770604
34.4 -0.565257 -2.54428 -0.825954
34.5 -0.585721 -2.63319 -0.883451
34.6 -0.603991 -2.72177 -0.942883
34.7 -0.619977 -2.80966 -1.00403
34.8 -0.633596 -2.8965 -1.06665
34.9 -0.644774 -2.98194 -1.1305
35 -0.653448 -3.06562 -1.19535
35.1 -0.659562 -3.14719 -1.26094
35.2 -0.663071 -3.22631 -1.32701
35.3 -0.66394 -3.30263 -1.39329
35.4 -0.662144 -3.37583 -1.45953
35.5 -0.65767 -3.44559 -1.52546
35.6 -0.650515 -3.51159 -1.5908
35.7 -0.640684 -3.57355 -1.65529
35.8 -0.628198 -3.63119 -1.71867
35.9 -0.613084 -3.68423 -1.78067
36 -0.595382 -3.73242 -1.84102
36.1 -0.575144 -3.77554 -1.89949
36.2 -0.55243 -3.81337 -1.9558
36.3 -0.527311 -3.84571 -2.00973
36.4 -0.49987 -3.87239 -2.06103
36.5 -0.470199 -3.89326 -2.10948
36.6 -0.438399 -3.90819 -2.15485
36.7 -0.404581 -3.91707 -2.19695
36.8 -0.368865 -3.91982 -2.23557
36.9 -0.33138 -3.91637 -2.27054
37 -0.292261 -3.90669 -2.30168
37.1 -0.251655 -3.89077 -2.32883
37.2 -0.209711 -3.86863 -2.35187
37.3 -0.166589 -3.8403 -2.37065
37.4 -0.122451 -3.80585 -2.38508
37.5 -0.0774687 -3.76536 -2.39505
37.6 -0.0318152 -3.71896 -2.40049
37.7 0.0143311 -3.66678 -2.40135
37.8 0.0607883 -3.60899 -2.39759
37.9 0.107372 -3.54577 -2.38917
38 0.153896 -3.47733 -2.37611
38.1 0.200172 -3.40391 -2.35841
38.2 0.246013 -3.32576 -2.33611
38.3 0.29123 -3.24317 -2.30926
38.4 0.335636 -3.15642 -2.27794
38.5 0.379047 -3.06583 -2.24222
38.6 0.421279 -2.97175 -2.20223
38.7 0.462154 -2.87451 -2.15809
38.8 0.501496 -2.77448 -2.10995
38.9 0.539134 -2.67204 -2.05796
39 0.574904 -2.5676 -2.0023
39.1 0.608646 -2.46154 -1.94317
39.2 0.640209 -2.35429 -1.88078
39.3 0.669448 -2.24626 -1.81535
39.4 0.696227 -2.13789 -1.74713
39.5 0.720418 -2.02961 -1.67636
39.6 0.741905 -1.92185 -1.60331
39.7 0.760577 -1.81505 -1.52826
39.8 0.776339 -1.70966 -1.45148
39.9 0.789103 -1.6061 -1.37328
40 0.798794 -1.5048 -1.29396
40.1 0.805349 -1.4062 -1.21383
