t 1 2 jL0100 
187.3 -0.577847 -3.09898 -1.43505
187.4 -0.56621 -3.16523 -1.49222
187.5 -0.55294 -3.22676 -1.54814
187.6 -0.538007 -3.28349 -1.60264
187.7 -0.521392 -3.33532 -1.65557
187.8 -0.503091 -3.38219 -1.70675
187.9 -0.483112 -3.42399 -1.75602
188 -0.461473 -3.46067 -1.80321
188.1 -0.438206 -3.49215 -1.84815
188.2 -0.413352 -3.51837 -1.89069
188.3 -0.386964 -3.53928 -1.93067
188.4 -0.359104 -3.55484 -1.96793
188.5 -0.329843 -3.56504 -2.00234
188.6 -0.299263 -3.56985 -2.03376
188.7 -0.267452 -3.56929 -2.06207
188.8 -0.234508 -3.56336 -2.08714
188.9 -0.200534 -3.5521 -2.10886
189 -0.165644 -3.53558 -2.12715
189.1 -0.129952 -3.51384 -2.1419
189.2 -0.0935844 -3.48698 -2.15306
189.3 -0.0566675 -3.4551 -2.16056
189.4 -0.0193346 -3.41832 -2.16435
189.5 0.0182778 -3.37678 -2.16439
189.6 0.0560299 -3.33063 -2.16067
189.7 0.0937794 -3.28005 -2.15318
189.8 0.131382 -3.22522 -2.14192
189.9 0.168692 -3.16635 -2.12693
190 0.205563 -3.10367 -2.10822
190.1 0.24185 -3.03741 -2.08586
190.2 0.277406 -2.96782 -2.05992
190.3 0.312087 -2.89517 -2.03046
190.4 0.34575 -2.81973 -1.99759
190.5 0.378257 -2.74181 -1.96142
190.6 0.409469 -2.6617 -1.92207
190.7 0.439256 -2.57972 -1.87966
190.8 0.467487 -2.49619 -1.83436
190.9 0.494039 -2.41144 -1.78633
191 0.518794 -2.3258 -1.73573
191.1 0.541641 -2.23963 -1.68275
191.2 0.562475 -2.15326 -1.6276
191.3 0.581195 -2.06706 -1.57047
191.4 0.597713 -1.98136 -1.51157
191.5 0.611946 -1.89653 -1.45115
191.6 0.623818 -1.81291 -1.38942
191.7 0.633266 -1.73086 -1.32662
191.8 0.640231 -1.65072 -1.26301
191.9 0.644667 -1.57283 -1.19883
192 0.646538 -1.49753 -1.13433
192.1 0.645815 -1.42513 -1.06978
192.2 0.642482 -1.35596 -1.00543
192.3 0.636531 -1.29032 -0.941541
192.4 0.627967 -1.22851 -0.878382
192.5 0.616803 -1.1708 -0.816208
192.6 0.603064 -1.11747 -0.755279
192.7 0.586786 -1.06876 -0.695851
192.8 0.568012 -1.0249 -0.638174
192.9 0.546832 -0.985192 -0.582492
193 0.523409 -0.948125 -0.529038
193.1 0.497944 -0.913531 -0.478024
193.2 0.470649 -0.88166 -0.429642
193.3 0.441729 -0.852896 -0.384067
193.4 0.411378 -0.827659 -0.34145
193.5 0.37977 -0.806382 -0.301926
193.6 0.347062 -0.789496 -0.265614
193.7 0.313393 -0.777434 -0.232617
193.8 0.27888 -0.770632 -0.203026
193.9 0.243621 -0.769533 -0.176921
194 0.207693 -0.774591 -0.154373
194.1 0.171153 -0.786273 -0.135447
194.2 0.134036 -0.805067 -0.120202
194.3 0.0963543 -0.831482 -0.108697
194.4 0.0580997 -0.86606 -0.100989
194.5 0.0192409 -0.909374 -0.0971369
194.6 -0.0202761 -0.962041 -0.0972045
194.7 -0.0604763 -1.02316 -0.101259
194.8 -0.101275 -1.08991 -0.109362
194.9 -0.142515 -1.16126 -0.121564
195 -0.184009 -1.23679 -0.137899
195.1 -0.225551 -1.31626 -0.15838
195.2 -0.266936 -1.39946 -0.183003
195.3 -0.307957 -1.48619 -0.211741
195.4 -0.348409 -1.57624 -0.244548
195.5 -0.388092 -1.66935 -0.281356
195.6 -0.426811 -1.76526 -0.32208
195.7 -0.464375 -1.86368 -0.366613
195.8 -0.500599 -1.9643 -0.41483
195.9 -0.535305 -2.06681 -0.46659
196 -0.56832 -2.17085 -0.521731
196.1 -0.599481 -2.27607 -0.580077
196.2 -0.628631 -2.3821 -0.641434
196.3 -0.655622 -2.48856 -0.705595
196.4 -0.680314 -2.59508 -0.772336
196.5 -0.702579 -2.70124 -0.841421
196.6 -0.722296 -2.80666 -0.912603
196.7 -0.739355 -2.91092 -0.98562
196.8 -0.753659 -3.01363 -1.0602
196.9 -0.765119 -3.11439 -1.13607
197 -0.77366 -3.21278 -1.21294
197.1 -0.779217 -3.30842 -1.29051
197.2 -0.781738 -3.40091 -1.36848
197.3 -0.781183 -3.48988 -1.44655
197.4 -0.777526 -3.57494 -1.52441
197.5 -0.770751 -3.65574 -1.60175
197.6 -0.760858 -3.73193 -1.67825
197.7 -0.747858 -3.80318 -1.75361
197.8 -0.731774 -3.86917 -1.82751
197.9 -0.712645 -3.9296 -1.89966
198 -0.69052 -3.98418 -1.96974
198.1 -0.665461 -4.03267 -2.03746
198.2 -0.637545 -4.07482 -2.10254
198.3 -0.606859 -4.11041 -2.16469
198.4 -0.573502 -4.13927 -2.22364
198.5 -0.537586 -4.16121 -2.27913
198.6 -0.499233 -4.1761 -2.33091
198.7 -0.458576 -4.18384 -2.37874
198.8 -0.415761 -4.18432 -2.4224
198.9 -0.370941 -4.17751 -2.46168
199 -0.324279 -4.16336 -2.4964
199.1 -0.275947 -4.14188 -2.52637
199.2 -0.226126 -4.1131 -2.55143
199.3 -0.175004 -4.07708 -2.57145
199.4 -0.122775 -4.0339 -2.58631
199.5 -0.0696401 -3.98369 -2.59591
199.6 -0.0158053 -3.9266 -2.60016
199.7 0.0385187 -3.86279 -2.59901
199.8 0.0931179 -3.79248 -2.59242
199.9 0.147775 -3.71589 -2.58037
200 0.202271 -3.63328 -2.56287
200.1 0.256386 -3.54495 -2.53994
200.2 0.309898 -3.45119 -2.51164
200.3 0.362589 -3.35235 -2.47803
200.4 0.41424 -3.24878 -2.43921
200.5 0.464635 -3.14086 -2.3953
200.6 0.513561 -3.029 -2.34642
200.7 0.56081 -2.9136 -2.29274
200.8 0.606179 -2.79511 -2.23444
200.9 0.64947 -2.67398 -2.17171
201 0.690492 -2.55068 -2.10476
201.1 0.729063 -2.42568 -2.03384
201.2 0.765008 -2.29948 -1.9592
201.3 0.798161 -2.17257 -1.88111
201.4 0.828366 -2.04546 -1.79986
201.5 0.855479 -1.91866 -1.71574
201.6 0.879366 -1.79268 -1.62908
201.7 0.899905 -1.66803 -1.5402
201.8 0.916987 -1.54523 -1.44944
201.9 0.930515 -1.42479 -1.35715
202 0.940407 -1.30721 -1.26369
202.1 0.946594 -1.19298 -1.16943
202.2 0.949021 -1.0826 -1.07475
202.3 0.947702 -0.974952 -0.980004
202.4 0.942878 -0.864645 -0.885564
202.5 0.934931 -0.750072 -0.791756
202.6 0.924307 -0.630824 -0.698866
202.7 0.911476 -0.506839 -0.607137
202.8 0.896912 -0.378116 -0.516767
202.9 0.881086 -0.244618 -0.427905
203 0.864461 -0.106242 -0.340653
203.1 0.847493 0.0371969 -0.25507
203.2 0.830628 0.185972 -0.171167
203.3 0.814308 0.340448 -0.0889118
203.4 0.798964 0.501088 -0.00822925
203.5 0.785026 0.668457 0.071
203.6 0.772918 0.843226 0.148938
203.7 0.763006 1.02453 0.225784
203.8 0.755271 1.20231 0.301751
203.9 0.749456 1.3736 0.377037
204 0.745207 1.53778 0.451813
204.1 0.742142 1.69498 0.526214
204.2 0.739892 1.84551 0.600341
204.3 0.738107 1.9897 0.674257
204.4 0.736466 2.12783 0.747993
204.5 0.734674 2.26015 0.82155
204.6 0.732465 2.38684 0.8949
204.7 0.729598 2.50804 0.96799
204.8 0.725855 2.62383 1.04074
204.9 0.721043 2.73429 1.11306
205 0.714991 2.83941 1.18484
205.1 0.707549 2.93922 1.25593
205.2 0.698587 3.03366 1.3262
205.3 0.687996 3.1227 1.39549
205.4 0.675682 3.20628 1.46363
205.5 0.661574 3.28432 1.53045
205.6 0.645614 3.35674 1.59577
205.7 0.627762 3.42345 1.65939
205.8 0.607995 3.48437 1.72113
205.9 0.586304 3.53941 1.7808
206 0.562695 3.58848 1.8382
206.1 0.537188 3.6315 1.89314
206.2 0.509817 3.66841 1.94545
206.3 0.480629 3.69915 1.99492
206.4 0.449683 3.72366 2.0414
206.5 0.417049 3.7419 2.08469
206.6 0.382811 3.75385 2.12464
206.7 0.34706 3.75951 2.1611
206.8 0.309899 3.75888 2.19391
206.9 0.271441 3.75199 2.22294
207 0.231805 3.73888 2.24807
207.1 0.191121 3.71961 2.26919
207.2 0.149523 3.69428 2.2862
207.3 0.107155 3.66297 2.29901
207.4 0.0641661 3.62582 2.30756
207.5 0.0207086 3.58297 2.31179
207.6 -0.0230588 3.53458 2.31166
207.7 -0.0669742 3.48082 2.30716
207.8 -0.110872 3.42192 2.29826
207.9 -0.154586 3.35808 2.28499
208 -0.197947 3.28955 2.26737
208.1 -0.240786 3.2166 2.24545
208.2 -0.282932 3.13949 2.21927
208.3 -0.324217 3.05852 2.18894
208.4 -0.364475 2.974 2.15453
208.5 -0.403539 2.88627 2.11615
208.6 -0.441248 2.79565 2.07395
208.7 -0.477443 2.70251 2.02805
208.8 -0.511971 2.60721 1.97862
208.9 -0.544682 2.51012 1.92583
209 -0.575435 2.41163 1.86987
209.1 -0.604091 2.31213 1.81094
209.2 -0.630523 2.21203 1.74927
209.3 -0.654607 2.11172 1.68507
209.4 -0.67623 2.01162 1.61858
209.5 -0.695288 1.91212 1.55007
209.6 -0.711684 1.81366 1.47979
209.7 -0.725334 1.71662 1.408
209.8 -0.736162 1.62142 1.335
209.9 -0.744102 1.52846 1.26106
210 -0.749102 1.43814 1.18647
210.1 -0.751118 1.35084 1.11153
210.2 -0.750119 1.26693 1.03655
210.3 -0.746087 1.18679 0.961811
210.4 -0.739013 1.11078 0.887632
210.5 -0.728903 1.03922 0.814312
210.6 -0.715837 0.970602 0.742149
210.7 -0.700025 0.902193 0.671427
210.8 -0.681753 0.833352 0.602403
210.9 -0.661334 0.764092 0.535306
211 -0.639087 0.694614 0.470334
211.1 -0.615323 0.625159 0.407655
211.2 -0.590341 0.555954 0.347407
211.3 -0.564427 0.487199 0.289695
211.4 -0.537854 0.419055 0.234601
211.5 -0.510877 0.35165 0.182178
211.6 -0.483739 0.285078 0.132454
211.7 -0.456667 0.219393 0.0854352
211.8 -0.429875 0.154618 0.0411038
211.9 -0.403562 0.0907371 -0.000577439
212 -0.377914 0.0277038 -0.0396655
212.1 -0.353106 -0.0345651 -0.0762352
212.2 -0.329299 -0.0961862 -0.110378
212.3 -0.306643 -0.15731 -0.142202
212.4 -0.285279 -0.218121 -0.171829
212.5 -0.265339 -0.27884 -0.199394
212.6 -0.246944 -0.339719 -0.225045
212.7 -0.230211 -0.401048 -0.248943
212.8 -0.215248 -0.463154 -0.271259
212.9 -0.202159 -0.526399 -0.292174
213 -0.191043 -0.591186 -0.311883
213.1 -0.182 -0.657957 -0.330585
213.2 -0.175123 -0.727198 -0.348494
213.3 -0.17051 -0.799437 -0.365831
213.4 -0.168257 -0.875254 -0.382828
213.5 -0.168465 -0.955275 -0.399724
213.6 -0.171154 -1.03765 -0.416766
213.7 -0.17619 -1.11916 -0.434193
213.8 -0.183359 -1.19903 -0.452226
213.9 -0.192409 -1.27726 -0.471064
214 -0.203084 -1.35405 -0.490882
214.1 -0.215136 -1.42968 -0.511831
214.2 -0.228325 -1.50438 -0.534036
214.3 -0.242423 -1.57836 -0.557599
214.4 -0.257215 -1.65178 -0.582601
214.5 -0.272495 -1.72476 -0.609101
214.6 -0.288071 -1.79738 -0.637139
214.7 -0.303759 -1.8697 -0.666736
214.8 -0.319386 -1.94172 -0.697894
214.9 -0.334789 -2.01345 -0.730599
215 -0.349813 -2.08483 -0.764822
215.1 -0.364313 -2.15581 -0.800517
215.2 -0.378152 -2.22632 -0.837625
215.3 -0.391203 -2.29623 -0.876075
215.4 -0.403348 -2.36545 -0.915781
215.5 -0.414474 -2.43384 -0.956648
215.6 -0.424481 -2.50125 -0.998569
215.7 -0.433274 -2.56753 -1.04143
215.8 -0.440769 -2.63252 -1.0851
215.9 -0.446888 -2.69604 -1.12945
216 -0.451564 -2.75793 -1.17434
216.1 -0.454736 -2.81799 -1.21961
216.2 -0.456353 -2.87605 -1.26513
216.3 -0.456372 -2.93193 -1.31073
216.4 -0.454759 -2.98545 -1.35624
216.5 -0.451486 -3.03642 -1.40151
216.6 -0.446537 -3.08468 -1.44637
216.7 -0.439901 -3.13004 -1.49065
216.8 -0.431578 -3.17235 -1.53419
216.9 -0.421574 -3.21145 -1.5768
217 -0.409904 -3.24719 -1.61833
217.1 -0.396591 -3.27942 -1.65862
217.2 -0.381667 -3.30802 -1.69749
217.3 -0.365169 -3.33286 -1.73479
217.4 -0.347144 -3.35385 -1.77037
217.5 -0.327644 -3.37087 -1.80407
217.6 -0.30673 -3.38386 -1.83575
217.7 -0.284469 -3.39274 -1.86528
217.8 -0.260934 -3.39746 -1.89252
217.9 -0.236206 -3.39798 -1.91734
218 -0.21037 -3.39428 -1.93964
218.1 -0.183517 -3.38634 -1.95931
218.2 -0.155744 -3.37418 -1.97625
218.3 -0.127151 -3.35782 -1.99037
218.4 -0.0978457 -3.3373 -2.0016
218.5 -0.0679361 -3.31268 -2.00987
218.6 -0.0375359 -3.28403 -2.01513
218.7 -0.00676145 -3.25143 -2.01734
218.8 0.0242684 -3.215 -2.01646
218.9 0.0554325 -3.17486 -2.01247
219 0.0866081 -3.13113 -2.00536
219.1 0.117671 -3.08398 -1.99515
219.2 0.148497 -3.03357 -1.98185
219.3 0.178961 -2.98007 -1.96548
219.4 0.208939 -2.92368 -1.9461
219.5 0.238307 -2.86461 -1.92375
219.6 0.266943 -2.80308 -1.8985
219.7 0.294727 -2.73931 -1.87044
219.8 0.32154 -2.67356 -1.83965
219.9 0.347268 -2.60605 -1.80623
220 0.371799 -2.53707 -1.77031
220.1 0.395025 -2.46687 -1.732
220.2 0.416843 -2.39572 -1.69144
220.3 0.437155 -2.32391 -1.64877
220.4 0.455866 -2.25173 -1.60416
220.5 0.472889 -2.17945 -1.55777
220.6 0.488143 -2.10738 -1.50976
220.7 0.501552 -2.0358 -1.46032
220.8 0.513048 -1.96501 -1.40963
220.9 0.522569 -1.8953 -1.3579
221 0.530062 -1.82695 -1.30532
221.1 0.535481 -1.76026 -1.25209
221.2 0.538786 -1.6955 -1.19843
221.3 0.539949 -1.63296 -1.14455
221.4 0.538947 -1.5729 -1.09066
221.5 0.535768 -1.51558 -1.03698
221.6 0.530406 -1.46127 -0.983723
221.7 0.522867 -1.41019 -0.931114
221.8 0.513163 -1.36258 -0.879366
221.9 0.501315 -1.31866 -0.828696
222 0.487356 -1.27865 -0.779316
222.1 0.471323 -1.24272 -0.731434
222.2 0.453265 -1.21106 -0.685256
222.3 0.433239 -1.18382 -0.640981
222.4 0.411309 -1.16116 -0.598802
222.5 0.387549 -1.14321 -0.558905
222.6 0.362039 -1.13006 -0.521471
222.7 0.334868 -1.12182 -0.486668
222.8 0.306133 -1.11855 -0.454658
222.9 0.275936 -1.12032 -0.425592
223 0.244387 -1.12714 -0.399611
223.1 0.211603 -1.13904 -0.376844
223.2 0.177705 -1.15601 -0.357408
223.3 0.142822 -1.17801 -0.341408
223.4 0.107084 -1.20501 -0.328936
223.5 0.0706307 -1.23693 -0.320069
223.6 0.0336015 -1.27368 -0.314874
223.7 -0.00385885 -1.31516 -0.313399
223.8 -0.041603 -1.36123 -0.315681
223.9 -0.0794815 -1.41175 -0.321741
224 -0.117343 -1.46655 -0.331583
224.1 -0.155034 -1.52545 -0.3452
224.2 -0.192404 -1.58823 -0.362566
224.3 -0.229297 -1.65467 -0.383641
224.4 -0.265563 -1.72455 -0.40837
224.5 -0.30105 -1.7976 -0.436683
224.6 -0.335609 -1.87356 -0.468495
224.7 -0.369094 -1.95214 -0.503705
224.8 -0.401361 -2.03305 -0.542199
224.9 -0.432272 -2.11599 -0.583848
225 -0.46169 -2.20063 -0.628511
225.1 -0.489485 -2.28664 -0.676031
225.2 -0.515533 -2.3737 -0.72624
225.3 -0.539715 -2.46146 -0.778957
225.4 -0.561919 -2.54957 -0.833991
225.5 -0.582039 -2.63769 -0.891138
225.6 -0.599977 -2.72545 -0.950185
225.7 -0.615646 -2.8125 -1.01091
225.8 -0.628962 -2.89848 -1.07308
225.9 -0.639854 -2.98305 -1.13646
226 -0.648258 -3.06585 -1.20081
226.1 -0.654121 -3.14653 -1.26586
226.2 -0.6574 -3.22474 -1.33138
226.3 -0.658059 -3.30017 -1.39708
226.4 -0.656076 -3.37247 -1.46273
226.5 -0.651437 -3.44134 -1.52804
226.6 -0.64414 -3.50647 -1.59275
226.7 -0.634193 -3.56756 -1.6566
226.8 -0.621615 -3.62435 -1.71932
226.9 -0.606436 -3.67656 -1.78066
227 -0.588695 -3.72395 -1.84035
227.1 -0.568444 -3.7663 -1.89815
227.2 -0.545743 -3.80338 -1.95379
227.3 -0.520666 -3.83501 -2.00705
227.4 -0.493293 -3.86102 -2.05769
227.5 -0.463717 -3.88126 -2.10549
227.6 -0.432039 -3.8956 -2.15022
227.7 -0.398369 -3.90394 -2.19169
227.8 -0.362828 -3.90619 -2.2297
227.9 -0.325543 -3.9023 -2.26408
228 -0.28665 -3.89223 -2.29464
228.1 -0.246293 -3.87598 -2.32125
228.2 -0.204622 -3.85356 -2.34376
228.3 -0.161796 -3.82501 -2.36205
228.4 -0.117976 -3.7904 -2.37602
228.5 -0.073332 -3.74981 -2.38556
228.6 -0.0280359 -3.70337 -2.39061
228.7 0.0177348 -3.65122 -2.39111
228.8 0.0637998 -3.59351 -2.38702
228.9 0.109976 -3.53044 -2.37833
229 0.156079 -3.46222 -2.36503
229.1 0.201922 -3.38908 -2.34713
229.2 0.247318 -3.31127 -2.32468
229.3 0.292083 -3.22907 -2.29772
229.4 0.336029 -3.14278 -2.26633
229.5 0.378975 -3.05272 -2.2306
229.6 0.420739 -2.9592 -2.19065
229.7 0.461144 -2.86259 -2.14658
229.8 0.500016 -2.76324 -2.09856
229.9 0.537186 -2.66154 -2.04674
230 0.572493 -2.55788 -1.9913
230.1 0.605778 -2.45265 -1.93244
230.2 0.636891 -2.34626 -1.87036
230.3 0.66569 -2.23915 -1.80528
230.4 0.692041 -2.13172 -1.73746
230.5 0.715818 -2.02441 -1.66713
230.6 0.736905 -1.91766 -1.59456
230.7 0.755195 -1.81189 -1.52002
230.8 0.770593 -1.70755 -1.4438
230.9 0.783013 -1.60506 -1.36619
231 0.792382 -1.50484 -1.2875
231.1 0.798638 -1.40733 -1.20803
231.2 0.80173 -1.31293 -1.12809
231.3 0.801621 -1.22205 -1.048
231.4 0.798286 -1.13509 -0.968083
231.5 0.791712 -1.05242 -0.888663
231.6 0.781959 -0.972682 -0.81006
231.7 0.769244 -0.892368 -0.732576
231.8 0.753879 -0.810543 -0.656489
231.9 0.736217 -0.727096 -0.582046
232 0.716617 -0.642155 -0.509457
232.1 0.695437 -0.555891 -0.438898
232.2 0.673026 -0.468456 -0.37051
232.3 0.649719 -0.379964 -0.304399
232.4 0.625842 -0.29048 -0.24064
232.5 0.601703 -0.200019 -0.179273
232.6 0.577603 -0.108542 -0.120311
232.7 0.553826 -0.0159611 -0.0637347
232.8 0.530646 0.0778697 -0.00949967
232.9 0.508328 0.17315 0.0424672
233 0.487124 0.270135 0.0922644
233.1 0.467278 0.369141 0.140015
233.2 0.449027 0.470542 0.185868
233.3 0.432599 0.574776 0.229991
233.4 0.418218 0.682343 0.272581
233.5 0.406105 0.793815 0.313851
233.6 0.396477 0.909831 0.354039
233.7 0.389486 1.02915 0.393401
233.8 0.385039 1.14589 0.432191
233.9 0.382902 1.25847 0.470648
234 0.382781 1.36672 0.508985
234.1 0.384371 1.47086 0.547389
234.2 0.387373 1.57126 0.586016
234.3 0.391505 1.66823 0.624991
234.4 0.396503 1.76209 0.664417
234.5 0.402121 1.85306 0.704367
234.6 0.408132 1.94136 0.744892
234.7 0.414325 2.02714 0.786022
234.8 0.420503 2.11052 0.827766
234.9 0.426488 2.19156 0.870113
235 0.432112 2.27033 0.913036
235.1 0.437225 2.34684 0.956492
235.2 0.441687 2.42108 1.00042
235.3 0.445371 2.49303 1.04476
235.4 0.448164 2.56265 1.08941
235.5 0.449963 2.62986 1.1343
235.6 0.450676 2.69459 1.1793
235.7 0.450224 2.75676 1.22432
235.8 0.448536 2.81626 1.26923
235.9 0.445553 2.873 1.3139
236 0.441227 2.92686 1.35821
236.1 0.435518 2.97773 1.40201
236.2 0.428397 3.02551 1.44517
236.3 0.419844 3.07008 1.48755
236.4 0.409848 3.11132 1.529
236.5 0.398408 3.14913 1.56937
236.6 0.38553 3.18341 1.60853
236.7 0.371231 3.21406 1.64634
236.8 0.355532 3.241 1.68264
236.9 0.338467 3.26413 1.71731
237 0.320075 3.2834 1.7502
237.1 0.300403 3.29873 1.78119
237.2 0.279504 3.31007 1.81015
237.3 0.25744 3.31739 1.83697
237.4 0.234277 3.32066 1.86153
237.5 0.21009 3.31986 1.88372
237.6 0.184957 3.315 1.90345
237.7 0.158963 3.30607 1.92062
237.8 0.132197 3.29312 1.93516
237.9 0.104754 3.27618 1.94699
238 0.0767318 3.25531 1.95605
238.1 0.0482331 3.23057 1.96228
238.2 0.0193631 3.20204 1.96565
238.3 -0.00976993 3.16984 1.96612
238.4 -0.0390552 3.13406 1.96368
238.5 -0.0683802 3.09485 1.9583
238.6 -0.0976307 3.05232 1.95
238.7 -0.126692 3.00665 1.93879
238.8 -0.155448 2.95799 1.92469
238.9 -0.183783 2.90654 1.90774
239 -0.211584 2.85246 1.88798
239.1 -0.238734 2.79598 1.86548
239.2 -0.265123 2.73731 1.8403
239.3 -0.29064 2.67666 1.81254
239.4 -0.315176 2.61427 1.78227
239.5 -0.338626 2.55038 1.7496
239.6 -0.360889 2.48524 1.71466
239.7 -0.381867 2.41911 1.67755
239.8 -0.401466 2.35224 1.63842
239.9 -0.419598 2.28491 1.5974
240 -0.436178 2.21737 1.55465
240.1 -0.451128 2.14992 1.51032
240.2 -0.464376 2.08281 1.46459
240.3 -0.475855 2.01632 1.41762
240.4 -0.485506 1.95073 1.3696
240.5 -0.493276 1.88631 1.32071
240.6 -0.499119 1.82333 1.27113
240.7 -0.502996 1.76205 1.22108
240.8 -0.504877 1.70274 1.17073
240.9 -0.504738 1.64566 1.1203
241 -0.502564 1.59104 1.06999
241.1 -0.498348 1.53914 1.01999
241.2 -0.492091 1.49017 0.970521
241.3 -0.483802 1.44437 0.921777
241.4 -0.473498 1.40194 0.873963
241.5 -0.461205 1.36309 0.827277
241.6 -0.446957 1.32799 0.781918
241.7 -0.430795 1.29682 0.738079
241.8 -0.412769 1.26973 0.695948
241.9 -0.392937 1.24687 0.655709
242 -0.371364 1.22837 0.617538
242.1 -0.348124 1.21433 0.581606
242.2 -0.323297 1.20484 0.548076
242.3 -0.29697 1.19998 0.517101
242.4 -0.269237 1.19981 0.488827
242.5 -0.240199 1.20437 0.463389
242.6 -0.209962 1.21367 0.440912
242.7 -0.178638 1.22772 0.421511
242.8 -0.146344 1.24649 0.405287
242.9 -0.113203 1.26995 0.392333
243 -0.0793414 1.29805 0.382725
243.1 -0.0448898 1.3307 0.37653
243.2 -0.00998201 1.36782 0.373799
243.3 0.0252451 1.40928 0.374572
243.4 0.0606522 1.45496 0.378873
243.5 0.0960984 1.5047 0.386713
243.6 0.131441 1.55835 0.398089
243.7 0.166538 1.6157 0.412984
243.8 0.201245 1.67657 0.431365
243.9 0.23542 1.74074 0.453187
244 0.26892 1.80797 0.478389
244.1 0.301607 1.87802 0.506897
244.2 0.333341 1.95062 0.538622
244.3 0.363987 2.02552 0.573463
244.4 0.393414 2.10242 0.611304
244.5 0.421493 2.18102 0.652017
244.6 0.448101 2.26104 0.695462
244.7 0.473118 2.34216 0.741484
244.8 0.496431 2.42405 0.789921
244.9 0.517934 2.5064 0.840595
245 0.537524 2.58888 0.893321
245.1 0.555108 2.67116 0.947904
245.2 0.570599 2.75291 1.00414
245.3 0.583918 2.83378 1.06181
245.4 0.594994 2.91346 1.1207
245.5 0.603764 2.99161 1.18058
245.6 0.610176 3.0679 1.24122
245.7 0.614183 3.14201 1.30238
245.8 0.615752 3.21363 1.36382
245.9 0.614855 3.28244 1.42529
246 0.611477 3.34816 1.48654
246.1 0.605612 3.41048 1.54733
246.2 0.597264 3.46913 1.60741
246.3 0.586445 3.52385 1.66654
246.4 0.573181 3.57439 1.72446
246.5 0.557504 3.6205 1.78093
246.6 0.539459 3.66197 1.83572
246.7 0.5191 3.6986 1.88859
246.8 0.496489 3.73019 1.93931
246.9 0.4717 3.75658 1.98767
247 0.444815 3.77762 2.03344
247.1 0.415925 3.79318 2.07642
247.2 0.385131 3.80317 2.11643
247.3 0.352542 3.80749 2.15327
247.4 0.318273 3.80608 2.18676
247.5 0.282451 3.7989 2.21676
247.6 0.245205 3.78593 2.2431
247.7 0.206676 3.76718 2.26566
247.8 0.167007 3.74268 2.28432
247.9 0.12635 3.71248 2.29896
248 0.0848589 3.67666 2.3095
248.1 0.0426953 3.63532 2.31586
248.2 2.30227e-05 3.58858 2.31798
248.3 -0.0429902 3.53657 2.31582
248.4 -0.0861741 3.47948 2.30935
248.5 -0.129356 3.41749 2.29858
248.6 -0.172363 3.35081 2.28349
248.7 -0.21502 3.27967 2.26413
248.8 -0.257152 3.20433 2.24053
248.9 -0.298586 3.12504 2.21276
249 -0.33915 3.0421 2.18089
249.1 -0.378673 2.95582 2.14503
249.2 -0.416988 2.86651 2.10527
249.3 -0.453932 2.77451 2.06176
249.4 -0.489344 2.68016 2.01463
249.5 -0.523071 2.58384 1.96405
249.6 -0.554962 2.4859 1.91019
249.7 -0.584875 2.38674 1.85325
249.8 -0.612674 2.28674 1.79342
249.9 -0.638229 2.18629 1.73093
250 -0.661421 2.0858 1.666
250.1 -0.682137 1.98567 1.59889
250.2 -0.700274 1.88631 1.52983
250.3 -0.715738 1.78812 1.45909
250.4 -0.728445 1.6915 1.38695
250.5 -0.738324 1.59687 1.31368
250.6 -0.74531 1.50461 1.23957
250.7 -0.749354 1.41511 1.16491
250.8 -0.750414 1.32877 1.09
250.9 -0.748464 1.24594 1.01513
251 -0.743487 1.16699 0.940608
251.1 -0.735479 1.09228 0.866736
251.2 -0.724447 1.02212 0.793815
251.3 -0.71051 0.953951 0.722141
251.4 -0.693903 0.885771 0.651989
251.5 -0.674921 0.817176 0.583611
251.6 -0.653878 0.748249 0.517226
251.7 -0.63109 0.679212 0.453025
251.8 -0.606864 0.610307 0.391167
251.9 -0.581495 0.541757 0.331781
252 -0.555264 0.473754 0.274969
252.1 -0.528437 0.406457 0.220802
252.2 -0.501266 0.339987 0.169329
252.3 -0.473986 0.274432 0.120572
252.4 -0.446821 0.209844 0.0745315
252.5 -0.419978 0.146242 0.0311862
252.6 -0.39365 0.0836078 -0.0095056
252.7 -0.36802 0.0218928 -0.0476042
252.8 -0.343254 -0.0389867 -0.0831873
252.9 -0.319511 -0.0991474 -0.116349
253 -0.296934 -0.158739 -0.147199
253.1 -0.275659 -0.217944 -0.175859
253.2 -0.255813 -0.276979 -0.202467
253.3 -0.237511 -0.336094 -0.22717
253.4 -0.220866 -0.395573 -0.250129
253.5 -0.20598 -0.455736 -0.271514
253.6 -0.192952 -0.516938 -0.291506
253.7 -0.181877 -0.579573 -0.310295
253.8 -0.172848 -0.644072 -0.328081
253.9 -0.165954 -0.710909 -0.345073
254 -0.161288 -0.7806 -0.36149
254.1 -0.158939 -0.853708 -0.377558
254.2 -0.159004 -0.930842 -0.393514
254.3 -0.161555 -1.01187 -0.409603
254.4 -0.166494 -1.09256 -0.426066
254.5 -0.173622 -1.17179 -0.443128
254.6 -0.182695 -1.24946 -0.460995
254.7 -0.193459 -1.32574 -0.479848
254.8 -0.205662 -1.40091 -0.499844
254.9 -0.219065 -1.47521 -0.521113
255 -0.233435 -1.54884 -0.543765
255.1 -0.248556 -1.62197 -0.567886
